lat,lon,salinity
41.04277681389445,-8.81393659640649,35.22643157414028
41.043149571242964,-8.811345437472529,35.21188381740025
41.04351549509131,-8.808798759161938,35.20370142800467
41.04387880420043,-8.80626690109105,35.19706950868879
41.044242682127795,-8.80372764178497,35.18587779998779
41.04460303260087,-8.801211688148284,35.17939111164638
41.044948479506374,-8.798802675451004,35.17411163875035
41.04526863586251,-8.796577731878708,35.16602979387556
41.04556532832252,-8.794528521372666,35.16135556357248
41.045852597800256,-8.792561241933631,35.15745162963867
41.046144978439784,-8.790578053287751,35.15125070299421
41.046447238402955,-8.788546421211414,35.14724997111729
41.04675438038168,-8.786499115464487,35.14377307891846
41.04706014635517,-8.784477285933667,35.138539859226775
41.04736173808454,-8.782498695723692,35.13522611345564
41.047659817643385,-8.78055771912517,35.13237489972796
41.04795559176377,-8.778645047003687,35.12814794267927
41.048249529576324,-8.776756342244246,35.12530435834612
41.048541362996076,-8.774892238248716,35.12276417868478
41.04883071393801,-8.773054111348815,35.11899505342756
41.049117385305046,-8.771242082681642,35.116455282483784
41.04940136123423,-8.769455017289769,35.11422048296247
41.0496827185227,-8.767691277640953,35.11102145058768
41.049961803721715,-8.765947966794432,35.10885844911848
41.05023923327313,-8.764220927884367,35.106927803584504
41.050515522871684,-8.762506699700419,35.104159695761545
41.050790394624286,-8.760806566796596,35.102283409663606
41.051062777121516,-8.759126559160777,35.100609166281565
41.051331643618816,-8.757472444769352,35.09821673801967
41.05159695831392,-8.755843937949471,35.096594538007466
41.05185967641817,-8.75423469918137,35.09508453096662
41.052120959521176,-8.752637179933455,35.09287323270525
41.0523819796908,-8.751043845488542,35.091353961399626
41.052643919478385,-8.74944717482113,35.08988925388881
41.05290768211775,-8.747841395114826,35.08769716535296
41.053172734335256,-8.746229481269115,35.086152757917134
41.053437106304955,-8.744623155858573,35.08460296903338
41.05369877364121,-8.743034481935808,35.08228363309588
41.0539568466722,-8.741468497379305,35.080676215035574
41.054211570423746,-8.739923214830563,35.0790228162493
41.05446326990071,-8.738396314496626,35.07649735042027
41.054711504211355,-8.736890860363907,35.07468393870762
41.054955066541346,-8.735415300180371,35.072784832545686
41.055192961850985,-8.733976911486202,35.06972142628261
41.055425978116816,-8.732571795469749,35.0672288622175
41.05565668641283,-8.731184876281207,35.06431313923427
41.05588758372347,-8.72980129492427,35.05985682351248
41.0561189836033,-8.728418481395197,35.05592795780727
41.05634901619816,-8.7270461543632,35.05119923182896
41.056575610801744,-8.725695191538883,35.04447330747332
41.05679787730033,-8.724369956194428,35.03880058016096
41.05701610606042,-8.723068297065504,35.032400948660715
41.05723077007979,-8.721787081552296,35.02329513004848
41.05744208868801,-8.7205247884856,35.015206064496724
41.05765002742577,-8.719281508082693,35.00622197559902
41.05785451355333,-8.718057567103365,34.99442802156721
41.058055553222005,-8.716852875766442,34.98420476913452
41.058253231347784,-8.715666927686865,34.973021371024
41.05844764208689,-8.714499156372256,34.958552428654265
41.05863885869822,-8.713349128472903,34.94596774237497
41.05882693341837,-8.712216543709015,34.932351044246126
41.05901191539801,-8.711101116251537,34.914845194135395
41.05919386134007,-8.710002519455204,34.89962427956717
41.059372835372116,-8.708920385777141,34.88377380371094
41.05954890555608,-8.707854333136329,34.86401680537632
41.05972214113892,-8.706803969761076,34.8470401763916
41.05989261241897,-8.705768894100975,34.82964515686035
41.060060395478786,-8.704748694545039,34.80863666534424
41.06022556739053,-8.703742942765254,34.79042400632586
41.06038820607054,-8.702751193623781,34.77207279205322
41.06054839838406,-8.701772991180423,34.75046460969107
41.06070622962447,-8.70080786743595,34.731521947043284
41.06086178334754,-8.699855342236702,34.71252581051418
41.061015154083236,-8.698914933343929,34.690438168389456
41.061166425911615,-8.697986186172155,34.67052016939436
41.06131567226441,-8.697068673692755,34.65038851329258
41.061462983046916,-8.696161958383554,34.626939467021394
41.061608449322044,-8.695265548315975,34.60578267914908
41.06175216306595,-8.694378897058492,34.584604910441804
41.06189422732843,-8.69350150614858,34.5603962966374
41.062034679644356,-8.69263319466053,34.53852503640311
41.06217349171872,-8.691774099106656,34.51672158922468
41.06231066730746,-8.690924308768961,34.49199332509722
41.06244628866925,-8.690083358494851,34.46945466314043
41.062580516204754,-8.689250228634588,34.44720295497349
41.06271353081771,-8.688423985502281,34.42233896255493
41.06284535436293,-8.687604680316015,34.399655035563875
41.062975849172815,-8.686793349098926,34.37716722488403
41.06310496438767,-8.68599076987434,34.351950134549824
41.06323301202875,-8.685195484493017,34.32901920591082
41.063360666470366,-8.684403798369456,34.30645820072719
41.06348844529228,-8.68361344011298,34.28131249972752
41.063615428000695,-8.682831610353286,34.25860851151602
41.06373925508159,-8.682074981395628,34.23632141521999
41.04392590267583,-8.811540388096306,35.212175028664724
41.044293867909545,-8.808994039428974,35.20292840685163
41.04465921190372,-8.806462467212407,35.194905281066895
41.04502514276399,-8.803923385196455,35.18600164140974
41.045387516695016,-8.801407647940515,35.17863137381418
41.045734837969555,-8.798999250789752,35.17228371756418
41.0460566118959,-8.796775656585258,35.165844099862234
41.04635467555734,-8.794728522344544,35.160671847207205
41.046643199146374,-8.792763695899042,35.15610613141741
41.04693685682394,-8.790782952724461,35.15115329197475
41.04724047403596,-8.788753578230086,35.14675562722342
41.04754902855884,-8.786708363617198,35.14269358771188
41.04785622400516,-8.784688514693046,35.13846247536795
41.04815924220363,-8.78271183879993,35.134815965379985
41.04845874429143,-8.780772740716838,35.13149309158325
41.04875593960614,-8.778861930825007,35.12801000050136
41.0490513034816,-8.776975051033013,35.124851499285015
