timestamp,wind_direction,wind_level,tide
1476433799.9999967,North,Moderate,Flood
1476435600.0,North,Moderate,Flood
1476437400.0000033,South,Mild,Flood
1476439199.9999967,South,Mild,Flood
1476441000.0,South,Mild,Flood
1476442800.0000033,South,Mild,Flood
1476444599.9999967,South,Mild,Ebb
1476446400.0,South,Mild,Ebb
1476448200.0000033,South,Moderate,Ebb
1476449999.9999967,South,Moderate,Ebb
1476451800.0,South,Moderate,Ebb
1476453600.0000033,South,Moderate,Ebb
1476455399.9999967,South,Moderate,Ebb
1476457200.0,South,Moderate,Ebb
1476459000.0000033,South,Moderate,Ebb
1476460799.9999967,South,Moderate,Ebb
1476462600.0,South,Moderate,Ebb
1476464400.0000033,South,Moderate,Ebb
1476466199.9999967,South,Moderate,Ebb
1476468000.0,South,Moderate,Flood
1476469800.0000033,West,Moderate,Flood
1476471599.9999967,West,Moderate,Flood
1476473400.0,West,Moderate,Flood
1476475200.0000033,West,Moderate,Flood
1476476999.9999967,West,Moderate,Flood
1476478800.0,West,Moderate,Flood
1476480600.0000033,West,Moderate,Flood
1476482399.9999967,West,Moderate,Flood
1476484200.0,West,Moderate,Flood
1476486000.0000033,West,Moderate,Flood
1476487799.9999967,West,Moderate,Flood
1476489600.0,West,Moderate,Ebb
1476491400.0000033,West,Moderate,Ebb
1476493199.9999967,West,Moderate,Ebb
1476495000.0,West,Moderate,Ebb
1476496800.0000033,West,Moderate,Ebb
1476498599.9999967,West,Moderate,Ebb
1476500400.0,West,Moderate,Ebb
1476502200.0000033,West,Moderate,Ebb
1476503999.9999967,West,Moderate,Ebb
1476505800.0,West,Moderate,Ebb
1476507600.0000033,West,Moderate,Ebb
1476509399.9999967,West,Moderate,Ebb
1476511200.0,West,Moderate,Flood
1476513000.0000033,South,Moderate,Flood
1476514799.9999967,South,Moderate,Flood
1476516600.0,South,Moderate,Flood
1476518400.0000033,South,Moderate,Flood
1476520199.9999967,South,Moderate,Flood
1476522000.0,South,Moderate,Flood
1476523800.0000033,South,Heavy,Flood
1476525599.9999967,South,Heavy,Flood
1476527400.0,South,Heavy,Flood
1476529200.0000033,South,Heavy,Flood
1476530999.9999967,South,Heavy,Flood
1476532800.0,South,Heavy,Flood
1476534600.0000033,South,Heavy,Ebb
1476536399.9999967,South,Heavy,Ebb
1476538200.0,South,Heavy,Ebb
1476540000.0000033,South,Heavy,Ebb
1476541799.9999967,South,Heavy,Ebb
1476543600.0,South,Heavy,Ebb
1476545400.0000033,South,Heavy,Ebb
1476547199.9999967,South,Heavy,Ebb
1476549000.0,South,Heavy,Ebb
1476550800.0000033,South,Heavy,Ebb
1476552599.9999967,South,Heavy,Ebb
1476554400.0,South,Heavy,Ebb
1476556200.0000033,South,Heavy,Flood
1476557999.9999967,South,Heavy,Flood
1476559800.0,South,Heavy,Flood
1476561600.0000033,South,Heavy,Flood
1476563399.9999967,South,Heavy,Flood
1476565200.0,South,Heavy,Flood
1476567000.0000033,West,Moderate,Flood
1476568799.9999967,West,Moderate,Flood
1476570600.0,West,Moderate,Flood
1476572400.0000033,West,Moderate,Flood
1476574199.9999967,West,Moderate,Flood
1476576000.0,West,Moderate,Flood
1476577800.0000033,West,Moderate,Ebb
1476579599.9999967,West,Moderate,Ebb
1476581400.0,West,Moderate,Ebb
1476583200.0000033,West,Moderate,Ebb
1476584999.9999967,West,Moderate,Ebb
1476586800.0,West,Moderate,Ebb
1476588600.0000033,South,Mild,Ebb
1476590399.9999967,South,Mild,Ebb
1476592200.0,South,Mild,Ebb
1476594000.0000033,South,Mild,Ebb
1476595799.9999967,South,Mild,Ebb
1476597600.0,South,Mild,Ebb
1476599400.0000033,South,Moderate,Ebb
1476601199.9999967,South,Moderate,Flood
1476603000.0,South,Moderate,Flood
1476604800.0000033,South,Moderate,Flood
1476606599.9999967,South,Moderate,Flood
1476608400.0,South,Moderate,Flood
1476610200.0000033,South,Moderate,Flood
1476611999.9999967,South,Moderate,Flood
1476613800.0,South,Moderate,Flood
1476615600.0000033,South,Moderate,Flood
1476617399.9999967,South,Moderate,Flood
1476619200.0,South,Moderate,Flood
1476621000.0000033,South,Moderate,Flood
1476622799.9999967,South,Moderate,Ebb
1476624600.0,South,Moderate,Ebb
1476626400.0000033,South,Moderate,Ebb
1476628199.9999967,South,Moderate,Ebb
1476630000.0,South,Moderate,Ebb
1476631800.0000033,South,Moderate,Ebb
1476633599.9999967,South,Moderate,Ebb
1476635400.0,South,Moderate,Ebb
1476637200.0000033,South,Moderate,Ebb
1476638999.9999967,South,Moderate,Ebb
1476640800.0,South,Moderate,Ebb
1476642600.0000033,South,Moderate,Ebb
1476644399.9999967,South,Moderate,Flood
1476646200.0,South,Moderate,Flood
1476648000.0000033,South,Moderate,Flood
1476649799.9999967,South,Moderate,Flood
1476651600.0,South,Moderate,Flood
1476653400.0000033,South,Mild,Flood
1476655199.9999967,South,Mild,Flood
1476657000.0,South,Mild,Flood
1476658800.0000033,South,Mild,Flood
1476660599.9999967,South,Mild,Flood
1476662400.0,South,Mild,Flood
1476664200.0000033,East,Mild,Flood
1476665999.9999967,East,Mild,Flood
1476667800.0,East,Mild,Ebb
1476669600.0000033,East,Mild,Ebb
1476671399.9999967,East,Mild,Ebb
1476673200.0,East,Mild,Ebb
1476675000.0000033,East,Moderate,Ebb
1476676799.9999967,East,Moderate,Ebb
1476678600.0,East,Moderate,Ebb
1476680400.0000033,East,Moderate,Ebb
1476682199.9999967,East,Moderate,Ebb
1476684000.0,East,Moderate,Ebb
1476685800.0000033,East,Moderate,Ebb
1476687599.9999967,East,Moderate,Ebb
1476689400.0,East,Moderate,Flood
1476691200.0000033,East,Moderate,Flood
1476692999.9999967,East,Moderate,Flood
1476694800.0,East,Moderate,Flood
1476696600.0000033,East,Moderate,Flood
1476698399.9999967,East,Moderate,Flood
1476700200.0,East,Moderate,Flood
1476702000.0000033,East,Moderate,Flood
1476703799.9999967,East,Moderate,Flood
1476705600.0,East,Moderate,Flood
1476707400.0000033,East,Moderate,Flood
1476709199.9999967,East,Moderate,Flood
1476711000.0,East,Moderate,Ebb
1476712800.0000033,East,Moderate,Ebb
1476714599.9999967,East,Moderate,Ebb
1476716400.0,East,Moderate,Ebb
1476718200.0000033,North,Moderate,Ebb
1476719999.9999967,North,Moderate,Ebb
1476721800.0,North,Moderate,Ebb
1476723600.0000033,North,Moderate,Ebb
1476725399.9999967,North,Moderate,Ebb
1476727200.0,North,Moderate,Ebb
1476729000.0000033,North,Moderate,Ebb
1476730799.9999967,North,Moderate,Ebb
1476732600.0,North,Moderate,Ebb
1476734400.0000033,North,Moderate,Flood
1476736199.9999967,North,Moderate,Flood
1476738000.0,North,Moderate,Flood
1476739800.0000033,North,Moderate,Flood
1476741599.9999967,North,Moderate,Flood
1476743400.0,North,Moderate,Flood
1476745200.0000033,North,Moderate,Flood
1476746999.9999967,North,Moderate,Flood
1476748800.0,North,Moderate,Flood
1476750600.0000033,East,Moderate,Flood
1476752399.9999967,East,Moderate,Flood
1476754200.0,East,Moderate,Flood
1476756000.0000033,East,Moderate,Ebb
1476757799.9999967,East,Moderate,Ebb
1476759600.0,East,Moderate,Ebb
1476761400.0000033,East,Moderate,Ebb
1476763199.9999967,East,Moderate,Ebb
1476765000.0,East,Moderate,Ebb
1476766800.0000033,East,Moderate,Ebb
1476768599.9999967,East,Moderate,Ebb
1476770400.0,East,Moderate,Ebb
1476772200.0000033,East,Moderate,Ebb
1476773999.9999967,East,Moderate,Ebb
1476775800.0,East,Moderate,Ebb
1476777600.0000033,East,Moderate,Ebb
1476779399.9999967,East,Moderate,Flood
1476781200.0,East,Moderate,Flood
1476783000.0000033,East,Moderate,Flood
1476784799.9999967,East,Moderate,Flood
1476786600.0,East,Moderate,Flood
1476788400.0000033,East,Moderate,Flood
1476790199.9999967,East,Moderate,Flood
1476792000.0,East,Moderate,Flood
1476793800.0000033,East,Moderate,Flood
1476795599.9999967,East,Moderate,Flood
1476797400.0,East,Moderate,Flood
1476799200.0000033,East,Moderate,Flood
1476800999.9999967,East,Moderate,Ebb
1476802800.0,East,Moderate,Ebb
1476804600.0000033,East,Moderate,Ebb
1476806399.9999967,East,Moderate,Ebb
1476808200.0,East,Moderate,Ebb
1476810000.0000033,East,Moderate,Ebb
1476811799.9999967,East,Moderate,Ebb
1476813600.0,East,Moderate,Ebb
1476815400.0000033,East,Moderate,Ebb
1476817199.9999967,East,Moderate,Ebb
1476819000.0,East,Moderate,Ebb
1476820800.0000033,East,Moderate,Ebb
1476822599.9999967,East,Moderate,Flood
1476824400.0,East,Moderate,Flood
1476826200.0000033,East,Moderate,Flood
1476827999.9999967,East,Moderate,Flood
1476829800.0,East,Moderate,Flood
1476831600.0000033,East,Moderate,Flood
1476833399.9999967,East,Moderate,Flood
1476835200.0,East,Moderate,Flood
1476837000.0000033,North,Moderate,Flood
1476838799.9999967,North,Moderate,Flood
1476840600.0,North,Moderate,Flood
1476842400.0000033,North,Moderate,Flood
1476844199.9999967,North,Moderate,Flood
1476846000.0,North,Moderate,Ebb
1476847800.0000033,East,Moderate,Ebb
1476849599.9999967,East,Moderate,Ebb
1476851400.0,East,Moderate,Ebb
1476853200.0000033,East,Moderate,Ebb
1476854999.9999967,East,Moderate,Ebb
1476856800.0,East,Moderate,Ebb
1476858600.0000033,East,Mild,Ebb
1476860399.9999967,East,Mild,Ebb
1476862200.0,East,Mild,Ebb
1476864000.0000033,East,Mild,Ebb
1476865799.9999967,East,Mild,Ebb
1476867600.0,East,Mild,Flood
1476869400.0000033,East,Mild,Flood
1476871199.9999967,East,Mild,Flood
1476873000.0,East,Mild,Flood
1476874800.0000033,East,Mild,Flood
1476876599.9999967,East,Mild,Flood
1476878400.0,East,Mild,Flood
1476880200.0000033,North,Moderate,Flood
1476881999.9999967,North,Moderate,Flood
1476883800.0,North,Moderate,Flood
1476885600.0000033,North,Moderate,Flood
1476887399.9999967,North,Moderate,Flood
1476889200.0,North,Moderate,Flood
1476891000.0000033,North,Moderate,Ebb
1476892799.9999967,North,Moderate,Ebb
1476894600.0,North,Moderate,Ebb
1476896400.0000033,North,Moderate,Ebb
1476898199.9999967,North,Moderate,Ebb
1476900000.0,North,Moderate,Ebb
1476901800.0000033,North,Moderate,Ebb
1476903599.9999967,North,Moderate,Ebb
1476905400.0,North,Moderate,Ebb
1476907200.0000033,North,Moderate,Ebb
1476908999.9999967,North,Moderate,Ebb
1476910800.0,North,Moderate,Ebb
1476912600.0000033,North,Mild,Flood
1476914399.9999967,North,Mild,Flood
1476916200.0,North,Mild,Flood
1476918000.0000033,North,Mild,Flood
1476919799.9999967,North,Mild,Flood
1476921600.0,North,Mild,Flood
1476923400.0000033,North,Moderate,Flood
1476925199.9999967,North,Moderate,Flood
1476927000.0,North,Moderate,Flood
1476928800.0000033,North,Moderate,Flood
1476930599.9999967,North,Moderate,Flood
1476932400.0,North,Moderate,Flood
1476934200.0000033,North,Moderate,Ebb
1476935999.9999967,North,Moderate,Ebb
1476937800.0,North,Moderate,Ebb
1476939600.0000033,North,Moderate,Ebb
1476941399.9999967,North,Moderate,Ebb
1476943200.0,North,Moderate,Ebb
1476945000.0000033,East,Mild,Ebb
1476946799.9999967,East,Mild,Ebb
1476948600.0,East,Mild,Ebb
1476950400.0000033,East,Mild,Ebb
1476952199.9999967,East,Mild,Ebb
1476954000.0,East,Mild,Ebb
1476955800.0000033,West,Mild,Ebb
1476957599.9999967,West,Mild,Flood
1476959400.0,West,Mild,Flood
1476961200.0000033,West,Mild,Flood
1476962999.9999967,West,Mild,Flood
1476964800.0,West,Mild,Flood
1476966600.0000033,North,Moderate,Flood
1476968399.9999967,North,Moderate,Flood
1476970200.0,North,Moderate,Flood
1476972000.0000033,North,Moderate,Flood
1476973799.9999967,North,Moderate,Flood
1476975600.0,North,Moderate,Flood
1476977400.0000033,North,Moderate,Flood
1476979199.9999967,North,Moderate,Ebb
1476981000.0,North,Moderate,Ebb
1476982800.0000033,North,Moderate,Ebb
1476984599.9999967,North,Moderate,Ebb
1476986400.0,North,Moderate,Ebb
1476988200.0000033,North,Moderate,Ebb
1476989999.9999967,North,Moderate,Ebb
1476991800.0,North,Moderate,Ebb
1476993600.0000033,North,Moderate,Ebb
1476995399.9999967,North,Moderate,Ebb
1476997200.0,North,Moderate,Ebb
1476999000.0000033,North,Mild,Ebb
1477000799.9999967,North,Mild,Ebb
1477002600.0,North,Mild,Flood
1477004400.0000033,North,Mild,Flood
1477006199.9999967,North,Mild,Flood
