x,y,z,salinity
0.0,4799.999999999998,-0.5,34.32429621247884
0.0,4799.999999999998,-1.5,34.858366832848894
0.0,4799.999999999998,-2.5,35.0889870507151
0.0,4799.999999999998,-3.5,35.163947397867844
0.0,4799.999999999998,-4.5,35.20083822421024
69.74789915939706,4799.9542659782355,-0.5,34.31750323793592
69.74789915939706,4799.9542659782355,-1.5,34.85596431752452
69.74789915939706,4799.9542659782355,-2.5,35.08815608311503
69.74789915939706,4799.9542659782355,-3.5,35.163627373336794
69.74789915939706,4799.9542659782355,-4.5,35.200688616051494
139.4957983195851,4799.908531382474,-0.5,34.30386580907671
139.4957983195851,4799.908531382474,-1.5,34.851353508253794
139.4957983195851,4799.908531382474,-2.5,35.08686854681569
139.4957983195851,4799.908531382474,-3.5,35.16322112879873
139.4957983195851,4799.908531382474,-4.5,35.20058990864649
209.24369747898217,4799.862796212717,-0.5,34.290090721440734
209.24369747898217,4799.862796212717,-1.5,34.846805364908946
209.24369747898217,4799.862796212717,-2.5,35.085665894565345
209.24369747898217,4799.862796212717,-3.5,35.163210377389994
209.24369747898217,4799.862796212717,-4.5,35.20075944264728
278.99159663837924,4799.817060468971,-0.5,34.28049683614681
278.99159663837924,4799.817060468971,-1.5,34.842538391201394
278.99159663837924,4799.817060468971,-2.5,35.08510727154529
278.99159663837924,4799.817060468971,-3.5,35.163363566196935
278.99159663837924,4799.817060468971,-4.5,35.20097653082029
348.73949579856725,4799.77132415124,-0.5,34.27113024275702
348.73949579856725,4799.77132415124,-1.5,34.839050957837216
348.73949579856725,4799.77132415124,-2.5,35.08411629282361
348.73949579856725,4799.77132415124,-3.5,35.163103171109285
348.73949579856725,4799.77132415124,-4.5,35.200882226958235
418.48739495796434,4799.725587259532,-0.5,34.25269298110785
418.48739495796434,4799.725587259532,-1.5,34.83192048328444
418.48739495796434,4799.725587259532,-2.5,35.081930576353535
418.48739495796434,4799.725587259532,-3.5,35.16219767356994
418.48739495796434,4799.725587259532,-4.5,35.200427533890775
488.2352941173614,4799.679849793852,-0.5,34.21980251819469
488.2352941173614,4799.679849793852,-1.5,34.81988356600963
488.2352941173614,4799.679849793852,-2.5,35.07813605541636
488.2352941173614,4799.679849793852,-3.5,35.16061327209854
488.2352941173614,4799.679849793852,-4.5,35.199655389238586
557.9831932775495,4799.6341117542015,-0.5,34.18340177949737
