,x,y,salinity
0,10189.75034051301,8950.390739930683,25.967701951353337
1,10189.000383233526,8950.439884346093,25.967701951353337
2,10188.250425954042,8950.489028761504,25.967701951353337
3,10187.500468674558,8950.538173176916,25.967701951353337
4,10186.750511395074,8950.587317592326,25.967701951353337
5,10186.000554115592,8950.636462007737,25.967701951353337
6,10185.250596836107,8950.685606423147,25.967701951353337
7,10184.500639556623,8950.73475083856,25.967701951353337
8,10183.75068227714,8950.78389525397,25.967701951353337
9,10183.000724997655,8950.83303966938,25.967701951353337
10,10182.250767718171,8950.88218408479,25.967701951353337
11,10181.500810438687,8950.931328500203,25.967701951353337
12,10180.750853159203,8950.980472915613,25.967701951353337
13,10180.00089587972,8951.029617331023,25.967701951353337
14,10179.250938600237,8951.078761746434,25.967701951353337
15,10178.500981320753,8951.127906161846,25.967701951353337
16,10177.751024041268,8951.177050577257,25.967701951353337
17,10177.001066761784,8951.226194992667,26.311401058582454
18,10176.2511094823,8951.275339408077,26.311401058582454
19,10175.501152202816,8951.324483823488,26.311401058582454
20,10174.751194923332,8951.3736282389,26.311401058582454
21,10174.001237643848,8951.42277265431,26.311401058582454
22,10173.251280364366,8951.47191706972,26.311401058582454
23,10172.501323084882,8951.521061485131,26.311401058582454
24,10171.751365805398,8951.570205900543,26.311401058582454
25,10171.001408525914,8951.619350315954,26.311401058582454
26,10170.25145124643,8951.668494731364,26.311401058582454
27,10169.501493966945,8951.717639146775,26.311401058582454
28,10168.751536687461,8951.766783562187,26.311401058582454
29,10168.001579407977,8951.815927977597,26.311401058582454
30,10167.251622128495,8951.865072393008,26.311401058582454
31,10166.501664849011,8951.914216808418,26.311401058582454
32,10165.751707569527,8951.963361223829,26.311401058582454
33,10165.001750290043,8952.01250563924,26.311401058582454
34,10164.251793010559,8952.061650054651,26.311401058582454
35,10163.501835731075,8952.110794470062,26.311401058582454
36,10162.75187845159,8952.159938885472,26.311401058582454
37,10162.001921172106,8952.209083300884,26.311401058582454
38,10161.251963892622,8952.258227716295,26.311401058582454
39,10160.50200661314,8952.307372131705,26.311401058582454
40,10159.752049333656,8952.356516547115,26.311401058582454
41,10159.002092054172,8952.405660962528,26.311401058582454
42,10158.252134774688,8952.454805377938,26.311401058582454
43,10157.502177495204,8952.503949793349,26.311401058582454
44,10156.75222021572,8952.553094208759,26.311401058582454
45,10156.002262936236,8952.602238624171,26.311401058582454
46,10155.252305656752,8952.651383039582,26.311401058582454
47,10154.502348377267,8952.700527454992,26.311401058582454
48,10153.752391097785,8952.749671870402,26.311401058582454
49,10153.002433818301,8952.798816285813,26.311401058582454
50,10152.252476538817,8952.847960701225,26.311401058582454
51,10151.502519259333,8952.897105116635,26.311401058582454
52,10150.752561979849,8952.946249532046,26.311401058582454
53,10150.002604700365,8952.995393947456,26.311401058582454
54,10149.25264742088,8953.044538362868,26.311401058582454
55,10148.502690141397,8953.093682778279,26.311401058582454
56,10147.752732861914,8953.14282719369,26.311401058582454
57,10147.00277558243,8953.1919716091,26.311401058582454
58,10146.252818302946,8953.241116024512,26.311401058582454
59,10145.502861023462,8953.290260439922,26.311401058582454
60,10144.752903743978,8953.339404855333,26.311401058582454
61,10144.002946464494,8953.388549270743,26.311401058582454
62,10143.25298918501,8953.437693686154,26.311401058582454
63,10142.503031905526,8953.486838101566,26.311401058582454
64,10141.753074626042,8953.535982516976,26.311401058582454
65,10141.00311734656,8953.585126932387,26.311401058582454
66,10140.253160067075,8953.634271347797,26.311401058582454
67,10139.503202787591,8953.68341576321,26.311401058582454
68,10138.753245508107,8953.73256017862,26.311401058582454
69,10138.003288228623,8953.78170459403,26.311401058582454
70,10137.25333094914,8953.83084900944,26.311401058582454
71,10136.503373669655,8953.879993424853,26.311401058582454
72,10135.753416390171,8953.929137840263,26.311401058582454
73,10135.003459110689,8953.978282255674,26.311401058582454
74,10134.253501831205,8954.027426671084,26.311401058582454
75,10133.50354455172,8954.076571086496,26.311401058582454
76,10132.753587272236,8954.125715501907,26.311401058582454
77,10132.003629992752,8954.174859917317,26.311401058582454
78,10131.253672713268,8954.224004332727,26.311401058582454
79,10130.503715433784,8954.273148748138,26.311401058582454
80,10129.7537581543,8954.32229316355,26.311401058582454
81,10129.003800874816,8954.37143757896,26.311401058582454
82,10128.253843595334,8954.42058199437,26.311401058582454
83,10127.50388631585,8954.469726409781,26.311401058582454
84,10126.753929036366,8954.518870825194,26.311401058582454
85,10126.003971756882,8954.568015240604,26.311401058582454
86,10125.254014477398,8954.617159656014,26.311401058582454
87,10124.504057197913,8954.666304071425,26.311401058582454
88,10123.75409991843,8954.715448486837,26.311401058582454
89,10123.004142638945,8954.764592902247,26.311401058582454
90,10122.254185359463,8954.813737317658,26.311401058582454
91,10121.504228079979,8954.862881733068,26.311401058582454
92,10120.754270800495,8954.91202614848,26.311401058582454
93,10120.00431352101,8954.96117056389,26.311401058582454
94,10119.254356241527,8955.010314979301,26.311401058582454
95,10118.504398962043,8955.059459394712,26.311401058582454
96,10117.754441682559,8955.108603810122,26.311401058582454
97,10117.004484403074,8955.157748225534,26.311401058582454
98,10116.25452712359,8955.206892640945,26.311401058582454
99,10115.504569844108,8955.256037056355,26.311401058582454
100,10114.754612564624,8955.305181471766,26.311401058582454
101,10114.00465528514,8955.354325887178,26.311401058582454
102,10113.254698005656,8955.403470302588,26.311401058582454
103,10112.504740726172,8955.452614717999,26.311401058582454
104,10111.754783446688,8955.501759133409,26.311401058582454
105,10111.004826167204,8955.550903548821,26.311401058582454
106,10110.25486888772,8955.600047964232,26.311401058582454
