CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES_FCUL             

  Data       Hora   Alt    Maré
----------------------------------
2018-01-01   1:48  3.79  Preia-Mar           
2018-01-01   8:02  0.72  Baixa-Mar           
2018-01-01  14:16  3.74  Preia-Mar           
2018-01-01  20:22  0.71  Baixa-Mar           
2018-01-02   2:37  3.95  Preia-Mar           
2018-01-02   8:52  0.58  Baixa-Mar           
2018-01-02  15:05  3.81  Preia-Mar           
2018-01-02  21:09  0.65  Baixa-Mar           
2018-01-03   3:25  4.04  Preia-Mar           
2018-01-03   9:41  0.52  Baixa-Mar           
2018-01-03  15:54  3.81  Preia-Mar           
2018-01-03  21:56  0.66  Baixa-Mar           
2018-01-04   4:14  4.05  Preia-Mar           
2018-01-04  10:30  0.55  Baixa-Mar           
2018-01-04  16:43  3.74  Preia-Mar           
2018-01-04  22:44  0.75  Baixa-Mar           
2018-01-05   5:02  3.96  Preia-Mar           
2018-01-05  11:19  0.67  Baixa-Mar           
2018-01-05  17:33  3.61  Preia-Mar           
2018-01-05  23:33  0.89  Baixa-Mar           
2018-01-06   5:52  3.80  Preia-Mar           
2018-01-06  12:10  0.84  Baixa-Mar           
2018-01-06  18:26  3.43  Preia-Mar           
2018-01-07   0:25  1.08  Baixa-Mar           
2018-01-07   6:46  3.60  Preia-Mar           
2018-01-07  13:05  1.05  Baixa-Mar           
2018-01-07  19:21  3.25  Preia-Mar           
2018-01-08   1:21  1.28  Baixa-Mar           
2018-01-08   7:43  3.37  Preia-Mar           
2018-01-08  14:04  1.25  Baixa-Mar           
2018-01-08  20:21  3.09  Preia-Mar           
2018-01-09   2:25  1.46  Baixa-Mar           
2018-01-09   8:45  3.17  Preia-Mar           
2018-01-09  15:10  1.41  Baixa-Mar           
2018-01-09  21:28  2.99  Preia-Mar           
2018-01-10   3:37  1.57  Baixa-Mar           
2018-01-10   9:54  3.04  Preia-Mar           
2018-01-10  16:19  1.50  Baixa-Mar           
2018-01-10  22:37  2.97  Preia-Mar           
2018-01-11   4:51  1.59  Baixa-Mar           
2018-01-11  11:03  2.99  Preia-Mar           
2018-01-11  17:22  1.50  Baixa-Mar           
2018-01-11  23:40  3.02  Preia-Mar           
2018-01-12   5:54  1.53  Baixa-Mar           
2018-01-12  12:03  3.01  Preia-Mar           
2018-01-12  18:16  1.45  Baixa-Mar           
2018-01-13   0:32  3.12  Preia-Mar           
2018-01-13   6:46  1.43  Baixa-Mar           
2018-01-13  12:54  3.07  Preia-Mar           
2018-01-13  19:00  1.37  Baixa-Mar           
2018-01-14   1:16  3.24  Preia-Mar           
2018-01-14   7:28  1.32  Baixa-Mar           
2018-01-14  13:36  3.16  Preia-Mar           
2018-01-14  19:39  1.28  Baixa-Mar           
2018-01-15   1:54  3.36  Preia-Mar           
2018-01-15   8:06  1.20  Baixa-Mar           
2018-01-15  14:14  3.25  Preia-Mar           
2018-01-15  20:14  1.19  Baixa-Mar           
2018-01-16   2:28  3.47  Preia-Mar           
2018-01-16   8:40  1.09  Baixa-Mar           
2018-01-16  14:49  3.33  Preia-Mar           
2018-01-16  20:47  1.11  Baixa-Mar           
2018-01-17   3:03  3.56  Preia-Mar           
2018-01-17   9:14  1.02  Baixa-Mar           
2018-01-17  15:23  3.38  Preia-Mar           
2018-01-17  21:21  1.06  Baixa-Mar           
2018-01-18   3:36  3.61  Preia-Mar           
2018-01-18   9:48  0.97  Baixa-Mar           
2018-01-18  15:57  3.40  Preia-Mar           
2018-01-18  21:54  1.04  Baixa-Mar           
2018-01-19   4:10  3.62  Preia-Mar           
2018-01-19  10:21  0.97  Baixa-Mar           
2018-01-19  16:31  3.39  Preia-Mar           
2018-01-19  22:28  1.06  Baixa-Mar           
2018-01-20   4:44  3.59  Preia-Mar           
2018-01-20  10:55  1.00  Baixa-Mar           
2018-01-20  17:05  3.35  Preia-Mar           
2018-01-20  23:02  1.11  Baixa-Mar           
2018-01-21   5:19  3.53  Preia-Mar           
2018-01-21  11:31  1.06  Baixa-Mar           
2018-01-21  17:41  3.28  Preia-Mar           
2018-01-21  23:39  1.18  Baixa-Mar           
2018-01-22   5:56  3.45  Preia-Mar           
2018-01-22  12:09  1.15  Baixa-Mar           
2018-01-22  18:21  3.20  Preia-Mar           
2018-01-23   0:19  1.28  Baixa-Mar           
2018-01-23   6:38  3.34  Preia-Mar           
2018-01-23  12:53  1.25  Baixa-Mar           
2018-01-23  19:08  3.11  Preia-Mar           
