CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES                  

  Data       Hora   Alt    Maré
----------------------------------
2016-01-01   1:06  1.48  Baixa-Mar           
2016-01-01   7:26  3.11  Preia-Mar           
2016-01-01  13:44  1.45  Baixa-Mar           
2016-01-01  20:03  2.90  Preia-Mar           
2016-01-02   2:00  1.62  Baixa-Mar           
2016-01-02   8:21  2.97  Preia-Mar           
2016-01-02  14:42  1.56  Baixa-Mar           
2016-01-02  21:03  2.83  Preia-Mar           
2016-01-03   3:06  1.69  Baixa-Mar           
2016-01-03   9:25  2.88  Preia-Mar           
2016-01-03  15:47  1.60  Baixa-Mar           
2016-01-03  22:09  2.83  Preia-Mar           
2016-01-04   4:18  1.69  Baixa-Mar           
2016-01-04  10:32  2.88  Preia-Mar           
2016-01-04  16:52  1.57  Baixa-Mar           
2016-01-04  23:12  2.91  Preia-Mar           
2016-01-05   5:24  1.60  Baixa-Mar           
2016-01-05  11:34  2.94  Preia-Mar           
2016-01-05  17:48  1.47  Baixa-Mar           
2016-01-06   0:06  3.05  Preia-Mar           
2016-01-06   6:18  1.46  Baixa-Mar           
2016-01-06  12:26  3.05  Preia-Mar           
2016-01-06  18:36  1.34  Baixa-Mar           
2016-01-07   0:53  3.22  Preia-Mar           
2016-01-07   7:04  1.29  Baixa-Mar           
2016-01-07  13:13  3.19  Preia-Mar           
2016-01-07  19:18  1.20  Baixa-Mar           
2016-01-08   1:35  3.39  Preia-Mar           
2016-01-08   7:46  1.12  Baixa-Mar           
2016-01-08  13:55  3.33  Preia-Mar           
2016-01-08  19:58  1.05  Baixa-Mar           
2016-01-09   2:14  3.56  Preia-Mar           
2016-01-09   8:25  0.96  Baixa-Mar           
2016-01-09  14:35  3.46  Preia-Mar           
2016-01-09  20:37  0.93  Baixa-Mar           
