CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES_FCUL             

  Data       Hora   Alt    Maré
2019-02-01   7:02  1.38  Baixa-Mar           
2019-02-01  13:11  3.08  Preia-Mar           
2019-02-01  19:15  1.38  Baixa-Mar           
2019-02-02   1:30  3.29  Preia-Mar           
2019-02-02   7:46  1.26  Baixa-Mar           
2019-02-02  13:54  3.17  Preia-Mar           
2019-02-02  19:54  1.28  Baixa-Mar           
2019-02-03   2:08  3.41  Preia-Mar           
2019-02-03   8:22  1.14  Baixa-Mar           
2019-02-03  14:31  3.27  Preia-Mar           
2019-02-03  20:29  1.18  Baixa-Mar           
2019-02-04   2:43  3.52  Preia-Mar           
2019-02-04   8:56  1.04  Baixa-Mar           
2019-02-04  15:04  3.35  Preia-Mar           
2019-02-04  21:02  1.09  Baixa-Mar           
2019-02-05   3:16  3.60  Preia-Mar           
2019-02-05   9:28  0.97  Baixa-Mar           
2019-02-05  15:37  3.41  Preia-Mar           
2019-02-05  21:34  1.04  Baixa-Mar           
2019-02-06   3:49  3.64  Preia-Mar           
2019-02-06   9:59  0.94  Baixa-Mar           
2019-02-06  16:08  3.43  Preia-Mar           
2019-02-06  22:05  1.02  Baixa-Mar           
2019-02-07   4:21  3.64  Preia-Mar           
2019-02-07  10:31  0.95  Baixa-Mar           
2019-02-07  16:40  3.41  Preia-Mar           
2019-02-07  22:37  1.04  Baixa-Mar           
2019-02-08   4:53  3.59  Preia-Mar           
2019-02-08  11:03  1.01  Baixa-Mar           
2019-02-08  17:12  3.35  Preia-Mar           
2019-02-08  23:09  1.10  Baixa-Mar           
2019-02-09   5:25  3.50  Preia-Mar           
2019-02-09  11:35  1.09  Baixa-Mar           
2019-02-09  17:45  3.27  Preia-Mar           
2019-02-09  23:43  1.20  Baixa-Mar           
2019-02-10   6:00  3.38  Preia-Mar           
2019-02-10  12:10  1.21  Baixa-Mar           
2019-02-10  18:21  3.17  Preia-Mar           
2019-02-11   0:21  1.32  Baixa-Mar           
2019-02-11   6:38  3.24  Preia-Mar           
2019-02-11  12:50  1.33  Baixa-Mar           
2019-02-11  19:04  3.06  Preia-Mar           
2019-02-12   1:06  1.45  Baixa-Mar           
2019-02-12   7:24  3.10  Preia-Mar           
2019-02-12  13:39  1.45  Baixa-Mar           
2019-02-12  19:58  2.96  Preia-Mar           
2019-02-13   2:04  1.56  Baixa-Mar           
2019-02-13   8:25  2.97  Preia-Mar           
2019-02-13  14:43  1.55  Baixa-Mar           
2019-02-13  21:08  2.92  Preia-Mar           
2019-02-14   3:23  1.61  Baixa-Mar           
2019-02-14   9:45  2.92  Preia-Mar           
2019-02-14  16:04  1.55  Baixa-Mar           
2019-02-14  22:30  2.99  Preia-Mar           
2019-02-15   4:50  1.52  Baixa-Mar           
2019-02-15  11:08  3.00  Preia-Mar           
2019-02-15  17:23  1.44  Baixa-Mar           
2019-02-15  23:44  3.18  Preia-Mar           
