CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES                  

  Data       Hora   Alt    Maré
2017-02-01   5:34  3.69  Preia-Mar           
2017-02-01  11:47  0.88  Baixa-Mar           
2017-02-01  18:00  3.43  Preia-Mar           
2017-02-02   0:00  1.02  Baixa-Mar           
2017-02-02   6:19  3.57  Preia-Mar           
2017-02-02  12:33  1.01  Baixa-Mar           
2017-02-02  18:48  3.31  Preia-Mar           
2017-02-03   0:50  1.16  Baixa-Mar           
2017-02-03   7:10  3.41  Preia-Mar           
2017-02-03  13:27  1.17  Baixa-Mar           
2017-02-03  19:45  3.19  Preia-Mar           
2017-02-04   1:50  1.30  Baixa-Mar           
2017-02-04   8:13  3.24  Preia-Mar           
2017-02-04  14:32  1.31  Baixa-Mar           
2017-02-04  20:54  3.10  Preia-Mar           
2017-02-05   3:06  1.40  Baixa-Mar           
2017-02-05   9:29  3.12  Preia-Mar           
2017-02-05  15:49  1.38  Baixa-Mar           
2017-02-05  22:13  3.10  Preia-Mar           
2017-02-06   4:32  1.39  Baixa-Mar           
2017-02-06  10:52  3.11  Preia-Mar           
2017-02-06  17:09  1.35  Baixa-Mar           
2017-02-06  23:30  3.22  Preia-Mar           
2017-02-07   5:50  1.25  Baixa-Mar           
2017-02-07  12:06  3.21  Preia-Mar           
2017-02-07  18:17  1.22  Baixa-Mar           
2017-02-08   0:35  3.42  Preia-Mar           
2017-02-08   6:54  1.05  Baixa-Mar           
2017-02-08  13:08  3.36  Preia-Mar           
2017-02-08  19:13  1.05  Baixa-Mar           
2017-02-09   1:30  3.62  Preia-Mar           
2017-02-09   7:47  0.86  Baixa-Mar           
2017-02-09  13:59  3.51  Preia-Mar           
2017-02-09  20:02  0.90  Baixa-Mar           
2017-02-10   2:17  3.79  Preia-Mar           
2017-02-10   8:33  0.72  Baixa-Mar           
2017-02-10  14:44  3.62  Preia-Mar           
2017-02-10  20:45  0.79  Baixa-Mar           
2017-02-11   3:01  3.89  Preia-Mar           
2017-02-11   9:15  0.65  Baixa-Mar           
2017-02-11  15:25  3.67  Preia-Mar           
2017-02-11  21:26  0.74  Baixa-Mar           
2017-02-12   3:41  3.91  Preia-Mar           
2017-02-12   9:54  0.65  Baixa-Mar           
2017-02-12  16:04  3.67  Preia-Mar           
2017-02-12  22:04  0.75  Baixa-Mar           
2017-02-13   4:20  3.86  Preia-Mar           
2017-02-13  10:31  0.71  Baixa-Mar           
2017-02-13  16:42  3.61  Preia-Mar           
2017-02-13  22:41  0.83  Baixa-Mar           
2017-02-14   4:57  3.75  Preia-Mar           
2017-02-14  11:07  0.84  Baixa-Mar           
2017-02-14  17:18  3.50  Preia-Mar           
2017-02-14  23:18  0.96  Baixa-Mar           
2017-02-15   5:34  3.58  Preia-Mar           
2017-02-15  11:43  1.00  Baixa-Mar           
2017-02-15  17:55  3.34  Preia-Mar           
2017-02-15  23:55  1.13  Baixa-Mar           
