x,y,z,mvar
0.0,4799.999999999998,-0.5,0.0836066687289556
0.0,4799.999999999998,-1.5,0.02479839754854842
0.0,4799.999999999998,-2.5,0.00012788639867497068
0.0,4799.999999999998,-3.5,9.302325820202897e-05
0.0,4799.999999999998,-4.5,8.817917418357965e-05
69.74789915939706,4799.9542659782355,-0.5,0.06085563356871661
69.74789915939706,4799.9542659782355,-1.5,0.01523742543676741
69.74789915939706,4799.9542659782355,-2.5,7.708775992845808e-05
69.74789915939706,4799.9542659782355,-3.5,5.6216921580811696e-05
69.74789915939706,4799.9542659782355,-4.5,5.3349741902257036e-05
139.4957983195851,4799.908531382474,-0.5,0.05547207843502439
139.4957983195851,4799.908531382474,-1.5,0.014231601954372109
139.4957983195851,4799.908531382474,-2.5,7.248568023548679e-05
139.4957983195851,4799.908531382474,-3.5,5.393453309653605e-05
139.4957983195851,4799.908531382474,-4.5,5.1402750746441874e-05
209.24369747898217,4799.862796212717,-0.5,0.043442633789630716
209.24369747898217,4799.862796212717,-1.5,0.009480991597266016
209.24369747898217,4799.862796212717,-2.5,5.832442704320346e-05
209.24369747898217,4799.862796212717,-3.5,4.404994170845264e-05
209.24369747898217,4799.862796212717,-4.5,4.1878034100998204e-05
278.99159663837924,4799.817060468971,-0.5,0.03833822709426691
278.99159663837924,4799.817060468971,-1.5,0.008912692989981442
278.99159663837924,4799.817060468971,-2.5,5.2639061298818996e-05
278.99159663837924,4799.817060468971,-3.5,3.981808943209105e-05
278.99159663837924,4799.817060468971,-4.5,3.800572075194968e-05
348.73949579856725,4799.77132415124,-0.5,0.03129559533600886
348.73949579856725,4799.77132415124,-1.5,0.006481247687351868
348.73949579856725,4799.77132415124,-2.5,4.197935245425105e-05
348.73949579856725,4799.77132415124,-3.5,3.2001326178272144e-05
348.73949579856725,4799.77132415124,-4.5,3.0588524346464223e-05
418.48739495796434,4799.725587259532,-0.5,0.027549098022573573
418.48739495796434,4799.725587259532,-1.5,0.005816015818256315
418.48739495796434,4799.725587259532,-2.5,4.300697616204678e-05
418.48739495796434,4799.725587259532,-3.5,3.3476684932867926e-05
418.48739495796434,4799.725587259532,-4.5,3.2043909433423924e-05
488.2352941173614,4799.679849793852,-0.5,0.02320867474015692
488.2352941173614,4799.679849793852,-1.5,0.004493017618657989
488.2352941173614,4799.679849793852,-2.5,4.113112241673156e-05
488.2352941173614,4799.679849793852,-3.5,3.305672209045057e-05
488.2352941173614,4799.679849793852,-4.5,3.179161815757623e-05
557.9831932775495,4799.6341117542015,-0.5,0.020066714201505707
557.9831932775495,4799.6341117542015,-1.5,0.004023283539243983
557.9831932775495,4799.6341117542015,-2.5,3.624434409926117e-05
557.9831932775495,4799.6341117542015,-3.5,2.9579830106917093e-05
557.9831932775495,4799.6341117542015,-4.5,2.846727637446832e-05
627.7310924369465,4799.588373140593,-0.5,0.01663404633412003
627.7310924369465,4799.588373140593,-1.5,0.003258970262573743
627.7310924369465,4799.588373140593,-2.5,2.961963486133693e-05
627.7310924369465,4799.588373140593,-3.5,2.452197047469145e-05
627.7310924369465,4799.588373140593,-4.5,2.368306587915432e-05
697.4789915963436,4799.542633953025,-0.5,0.015599203883386733
697.4789915963436,4799.542633953025,-1.5,0.0028956896683576864
697.4789915963436,4799.542633953025,-2.5,3.1214694356126466e-05
697.4789915963436,4799.542633953025,-3.5,2.6209218281194195e-05
697.4789915963436,4799.542633953025,-4.5,2.5471965022552012e-05
767.2268907565316,4799.496894191508,-0.5,0.013227801817979343
767.2268907565316,4799.496894191508,-1.5,0.0024254862027799752
767.2268907565316,4799.496894191508,-2.5,2.8922626093261527e-05
767.2268907565316,4799.496894191508,-3.5,2.4524460566062614e-05
