timestamp_ebbstart,timestamp_ebbend
1456813500.0,1456835580.0
1456858620.0,1456880880.0
1456903740.0,1456926060.0
1456949460.0,1456972320.0
1456995240.0,1457017620.0
1457040900.0,1457063940.0
1457086500.0,1457108640.0
1457131500.0,1457154300.0
1457176620.0,1457198580.0
1457221140.0,1457243700.0
1457266020.0,1457287860.0
1457310360.0,1457332800.0
1457355120.0,1457376900.0
1457399340.0,1457421720.0
1457444040.0,1457465820.0
1457488320.0,1457510640.0
1457532960.0,1457554740.0
1457577240.0,1457599560.0
1457621880.0,1457643720.0
1457666280.0,1457688540.0
1457710860.0,1457732760.0
1457755380.0,1457777580.0
1457800020.0,1457821980.0
1457844600.0,1457866800.0
1457889360.0,1457911440.0
1457934180.0,1457956380.0
1457979060.0,1458001440.0
1458024360.0,1458046560.0
1458069540.0,1458092460.0
1458115440.0,1458137820.0
1458160920.0,1458184380.0
1458207240.0,1458229620.0
1458252360.0,1458275760.0
1458298260.0,1458320340.0
1458342840.0,1458365820.0
1458388140.0,1458409920.0
1458432240.0,1458454920.0
1458477120.0,1458498840.0
1458521100.0,1458543480.0
1458565620.0,1458587280.0
1458609600.0,1458631800.0
1458653940.0,1458675600.0
1458697920.0,1458720000.0
1458742140.0,1458763860.0
1458786180.0,1458808140.0
1458830340.0,1458852060.0
1458874380.0,1458896340.0
1458918540.0,1458940320.0
1458962640.0,1458984540.0
1459006800.0,1459028580.0
1459047360.0,1459069200.0
1459091520.0,1459113360.0
1459135740.0,1459157520.0
1459179960.0,1459201980.0
1459224360.0,1459246140.0
1459268760.0,1459290960.0
1459313460.0,1459335240.0
1459358220.0,1459380720.0
1459403520.0,1459425480.0
1488339240.0,1488361440.0
1488383760.0,1488405540.0
1488428100.0,1488450360.0
1488472680.0,1488494520.0
1488517200.0,1488539460.0
1488561960.0,1488583920.0
1488606720.0,1488628980.0
1488651720.0,1488673920.0
1488696900.0,1488719280.0
1488742260.0,1488765000.0
1488788100.0,1488810600.0
1488833700.0,1488856980.0
1488879840.0,1488902280.0
1488925140.0,1488948360.0
1488970920.0,1488993000.0
1489015560.0,1489038480.0
1489060860.0,1489082700.0
1489105200.0,1489127820.0
1489150140.0,1489171860.0
1489194240.0,1489216740.0
1489238940.0,1489260600.0
1489283040.0,1489305360.0
1489327560.0,1489349220.0
1489371600.0,1489393800.0
1489416000.0,1489437660.0
1489460100.0,1489482180.0
1489504380.0,1489526100.0
1489548480.0,1489570500.0
1489592760.0,1489614480.0
1489636920.0,1489658820.0
1489681140.0,1489702920.0
1489725360.0,1489747200.0
1489769640.0,1489791480.0
1489813920.0,1489835760.0
1489858320.0,1489880340.0
1489902900.0,1489924680.0
1489947600.0,1489969860.0
1489992660.0,1490014500.0
1490037840.0,1490060700.0
1490083740.0,1490105820.0
1490129340.0,1490152740.0
1490175480.0,1490197620.0
1490220540.0,1490243640.0
1490266080.0,1490287920.0
1490310480.0,1490333160.0
1490355480.0,1490377260.0
1490399640.0,1490422140.0
1490444400.0,1490466120.0
1490488500.0,1490507220.0
1490529480.0,1490551260.0
1490573640.0,1490595900.0
1490618160.0,1490639940.0
1490662320.0,1490684580.0
1490706840.0,1490728680.0
1490751120.0,1490773320.0
1490795640.0,1490817540.0
1490839980.0,1490862180.0
1490884500.0,1490906460.0
1490929020.0,1490951160.0
1490973600.0,1490995680.0
1551438060.0,1551460140.0
1551482640.0,1551505620.0
1551527820.0,1551549540.0
1551571860.0,1551594540.0
1551616680.0,1551638220.0
