x,y,z,salinity
5387.749333813811,1841.5290190876292,-1.420702576637268,28.88999938964844
5389.1013235596165,1842.3777554451028,-1.3969018459320068,28.78400039672852
5390.47940583513,1843.1762824132657,-1.4357656240463257,28.84600067138672
5391.933324292183,1843.992578741557,-1.419921636581421,28.624000549316406
5393.316319897673,1844.7905562612027,-1.3522980213165283,28.55599975585937
5394.686650708443,1845.6116843522848,-1.4014458656311035,28.525999069213867
5395.98251862789,1846.3963224801764,-1.5085530281066897,29.101999282836918
5397.325231030541,1847.2463134791496,-1.4193271398544312,29.90999984741211
5398.749791577586,1848.130595695041,-1.2650216817855835,29.77899932861328
5400.060796215561,1848.891870474215,-1.395546555519104,28.44700050354004
5400.778539135501,1849.306647541272,-1.4473413228988647,28.756999969482425
5402.20810456544,1850.1639633012023,-1.453366756439209,29.400999069213867
5403.552739575101,1851.02232358094,-1.3776746988296509,29.74799919128418
5404.920354321661,1851.847851956162,-1.351970672607422,29.15699958801269
5406.30292268091,1852.6291880310505,-1.4246736764907837,29.1560001373291
5407.677922680543,1853.430376014865,-1.4710043668746948,29.621999740600582
5409.047673657587,1854.2503773931712,-1.4134985208511353,30.250999450683597
5410.415074780672,1855.0690354714209,-1.3820948600769043,29.73699951171875
5411.130742504696,1855.4890973221368,-1.3575621843338013,29.07699966430664
5412.495213940804,1856.2866528069144,-1.4199140071868896,29.06100082397461
5413.865453198657,1857.0829560519144,-1.4436877965927124,29.371000289916992
5415.223699047724,1857.9058303635843,-1.4720219373703003,30.14699935913086
5416.557378246913,1858.7628811073832,-1.361953616142273,30.12800025939941
5417.913945630081,1859.5896347517976,-1.3233882188796997,29.0
5419.286839916868,1860.364835751158,-1.469013214111328,29.131999969482425
5420.581944897464,1861.126604574943,-1.493254780769348,30.069000244140625
5421.929021313293,1861.972111437865,-1.3286325931549072,30.708999633789062
5423.234593823552,1862.739743842643,-1.3801223039627075,29.19599914550781
5424.598790600908,1863.533301251464,-1.453787088394165,29.493000030517575
5426.025456860093,1864.3868357939373,-1.4406254291534424,29.94700050354004
5426.741185620103,1864.811785886747,-1.4248186349868774,30.207000732421875
5428.114324048002,1865.609283158535,-1.394862174987793,29.530000686645508
5429.490819409118,1866.3945949511049,-1.2774864435195925,28.934999465942383
5430.862859204134,1867.183450003544,-1.3158869743347168,28.493000030517575
5432.27487702631,1868.048897658052,-1.4251147508621216,29.090999603271484
