,x,y,z,salinity
0,-10813.8935546875,-9907.7373046875,0.0,34.224754333496094
1,-10813.8935546875,-9907.7373046875,-0.5,34.22531509399414
2,-10813.8935546875,-9907.7373046875,-1.5,34.35872268676758
3,-10813.8935546875,-9907.7373046875,-2.5,34.68367385864258
4,-10813.8935546875,-9907.7373046875,-3.5,34.861515045166016
5,-10813.8935546875,-9907.7373046875,-4.5,35.05960464477539
6,-10813.8935546875,-9842.873046875,0.0,34.224754333496094
7,-10813.8935546875,-9842.873046875,-0.5,34.22531509399414
8,-10813.8935546875,-9842.873046875,-1.5,34.35872268676758
9,-10813.8935546875,-9842.873046875,-2.5,34.68367385864258
10,-10813.8935546875,-9842.873046875,-3.5,34.861515045166016
11,-10813.8935546875,-9842.873046875,-4.5,35.05960464477539
12,-10813.8935546875,-9778.0078125,0.0,34.216285705566406
13,-10813.8935546875,-9778.0078125,-0.5,34.21672058105469
14,-10813.8935546875,-9778.0078125,-1.5,34.34989929199219
15,-10813.8935546875,-9778.0078125,-2.5,34.67246627807617
16,-10813.8935546875,-9778.0078125,-3.5,34.85434341430664
17,-10813.8935546875,-9778.0078125,-4.5,35.053489685058594
18,-10813.8935546875,-9713.142578125,0.0,34.21561050415039
19,-10813.8935546875,-9713.142578125,-0.5,34.21586990356445
20,-10813.8935546875,-9713.142578125,-1.5,34.34721755981445
21,-10813.8935546875,-9713.142578125,-2.5,34.660396575927734
22,-10813.8935546875,-9713.142578125,-3.5,34.84768295288086
23,-10813.8935546875,-9713.142578125,-4.5,35.04745101928711
24,-10813.8935546875,-9648.2783203125,0.0,34.21561050415039
25,-10813.8935546875,-9648.2783203125,-0.5,34.21586990356445
26,-10813.8935546875,-9648.2783203125,-1.5,34.34721755981445
27,-10813.8935546875,-9648.2783203125,-2.5,34.660396575927734
28,-10813.8935546875,-9648.2783203125,-3.5,34.84768295288086
29,-10813.8935546875,-9648.2783203125,-4.5,35.04745101928711
30,-10813.8935546875,-9583.4130859375,0.0,34.21004104614258
31,-10813.8935546875,-9583.4130859375,-0.5,34.21018600463867
32,-10813.8935546875,-9583.4130859375,-1.5,34.340087890625
33,-10813.8935546875,-9583.4130859375,-2.5,34.647796630859375
34,-10813.8935546875,-9583.4130859375,-3.5,34.839412689208984
35,-10813.8935546875,-9583.4130859375,-4.5,35.040042877197266
36,-10813.8935546875,-9518.5478515625,0.0,34.21004104614258
37,-10813.8935546875,-9518.5478515625,-0.5,34.21018600463867
38,-10813.8935546875,-9518.5478515625,-1.5,34.340087890625
39,-10813.8935546875,-9518.5478515625,-2.5,34.647796630859375
40,-10813.8935546875,-9518.5478515625,-3.5,34.839412689208984
41,-10813.8935546875,-9518.5478515625,-4.5,35.040042877197266
42,-10813.8935546875,-9453.68359375,0.0,34.20549011230469
43,-10813.8935546875,-9453.68359375,-0.5,34.20552444458008
44,-10813.8935546875,-9453.68359375,-1.5,34.332271575927734
45,-10813.8935546875,-9453.68359375,-2.5,34.632911682128906
46,-10813.8935546875,-9453.68359375,-3.5,34.82904815673828
47,-10813.8935546875,-9453.68359375,-4.5,35.03047180175781
48,-10813.8935546875,-9388.818359375,0.0,34.212467193603516
49,-10813.8935546875,-9388.818359375,-0.5,34.21239471435547
50,-10813.8935546875,-9388.818359375,-1.5,34.33574676513672
51,-10813.8935546875,-9388.818359375,-2.5,34.62956619262695
52,-10813.8935546875,-9388.818359375,-3.5,34.82734680175781
53,-10813.8935546875,-9388.818359375,-4.5,35.02891540527344
54,-10813.8935546875,-9323.9541015625,0.0,34.208961486816406
55,-10813.8935546875,-9323.9541015625,-0.5,34.208831787109375
56,-10813.8935546875,-9323.9541015625,-1.5,34.334781646728516
57,-10813.8935546875,-9323.9541015625,-2.5,34.622276306152344
58,-10813.8935546875,-9323.9541015625,-3.5,34.82307434082031
59,-10813.8935546875,-9323.9541015625,-4.5,35.02452087402344
60,-10813.8935546875,-9259.0888671875,0.0,34.208961486816406
61,-10813.8935546875,-9259.0888671875,-0.5,34.208831787109375
62,-10813.8935546875,-9259.0888671875,-1.5,34.334781646728516
63,-10813.8935546875,-9259.0888671875,-2.5,34.622276306152344
64,-10813.8935546875,-9259.0888671875,-3.5,34.82307434082031
65,-10813.8935546875,-9259.0888671875,-4.5,35.02452087402344
66,-10813.8935546875,-9194.2236328125,0.0,34.20647430419922
67,-10813.8935546875,-9194.2236328125,-0.5,34.20596694946289
68,-10813.8935546875,-9194.2236328125,-1.5,34.32676315307617
69,-10813.8935546875,-9194.2236328125,-2.5,34.60464859008789
70,-10813.8935546875,-9194.2236328125,-3.5,34.809730529785156
71,-10813.8935546875,-9194.2236328125,-4.5,35.01218795776367
72,-10813.8935546875,-9129.359375,0.0,34.20647430419922
73,-10813.8935546875,-9129.359375,-0.5,34.20596694946289
74,-10813.8935546875,-9129.359375,-1.5,34.32676315307617
75,-10813.8935546875,-9129.359375,-2.5,34.60464859008789
76,-10813.8935546875,-9129.359375,-3.5,34.809730529785156
77,-10813.8935546875,-9129.359375,-4.5,35.01218795776367
78,-10813.8935546875,-9064.494140625,0.0,34.20468521118164
79,-10813.8935546875,-9064.494140625,-0.5,34.20390319824219
80,-10813.8935546875,-9064.494140625,-1.5,34.32293701171875
81,-10813.8935546875,-9064.494140625,-2.5,34.591819763183594
82,-10813.8935546875,-9064.494140625,-3.5,34.800048828125
83,-10813.8935546875,-9064.494140625,-4.5,35.00271224975586
84,-10813.8935546875,-8999.62890625,0.0,34.21242904663086
85,-10813.8935546875,-8999.62890625,-0.5,34.2114143371582
86,-10813.8935546875,-8999.62890625,-1.5,34.32775115966797
87,-10813.8935546875,-8999.62890625,-2.5,34.58954620361328
88,-10813.8935546875,-8999.62890625,-3.5,34.79867172241211
89,-10813.8935546875,-8999.62890625,-4.5,35.00151443481445
90,-10813.8935546875,-8934.7646484375,0.0,34.21150207519531
91,-10813.8935546875,-8934.7646484375,-0.5,34.21013259887695
92,-10813.8935546875,-8934.7646484375,-1.5,34.32314682006836
93,-10813.8935546875,-8934.7646484375,-2.5,34.575103759765625
94,-10813.8935546875,-8934.7646484375,-3.5,34.7868537902832
95,-10813.8935546875,-8934.7646484375,-4.5,34.99020767211914
96,-10813.8935546875,-8869.8994140625,0.0,34.21150207519531
97,-10813.8935546875,-8869.8994140625,-0.5,34.21013259887695
98,-10813.8935546875,-8869.8994140625,-1.5,34.32314682006836
99,-10813.8935546875,-8869.8994140625,-2.5,34.575103759765625
100,-10813.8935546875,-8869.8994140625,-3.5,34.7868537902832
101,-10813.8935546875,-8869.8994140625,-4.5,34.99020767211914
102,-10813.8935546875,-8805.03515625,0.0,34.21116638183594
103,-10813.8935546875,-8805.03515625,-0.5,34.20944595336914
104,-10813.8935546875,-8805.03515625,-1.5,34.31594467163086
105,-10813.8935546875,-8805.03515625,-2.5,34.55644226074219
106,-10813.8935546875,-8805.03515625,-3.5,34.770503997802734
107,-10813.8935546875,-8805.03515625,-4.5,34.974674224853516
108,-10813.8935546875,-8740.169921875,0.0,34.211265563964844
109,-10813.8935546875,-8740.169921875,-0.5,34.2092399597168
110,-10813.8935546875,-8740.169921875,-1.5,34.311737060546875
111,-10813.8935546875,-8740.169921875,-2.5,34.54195022583008
112,-10813.8935546875,-8740.169921875,-3.5,34.757381439208984
113,-10813.8935546875,-8740.169921875,-4.5,34.961875915527344
114,-10813.8935546875,-8675.3046875,0.0,34.211265563964844
115,-10813.8935546875,-8675.3046875,-0.5,34.2092399597168
116,-10813.8935546875,-8675.3046875,-1.5,34.311737060546875
117,-10813.8935546875,-8675.3046875,-2.5,34.54195022583008
118,-10813.8935546875,-8675.3046875,-3.5,34.757381439208984
119,-10813.8935546875,-8675.3046875,-4.5,34.961875915527344
120,-10813.8935546875,-8610.4404296875,0.0,34.2199821472168
121,-10813.8935546875,-8610.4404296875,-0.5,34.21739959716797
122,-10813.8935546875,-8610.4404296875,-1.5,34.311058044433594
123,-10813.8935546875,-8610.4404296875,-2.5,34.522945404052734
124,-10813.8935546875,-8610.4404296875,-3.5,34.7385368347168
125,-10813.8935546875,-8610.4404296875,-4.5,34.94411087036133
126,-10813.8935546875,-8545.5751953125,0.0,34.2199821472168
127,-10813.8935546875,-8545.5751953125,-0.5,34.21739959716797
128,-10813.8935546875,-8545.5751953125,-1.5,34.311058044433594
129,-10813.8935546875,-8545.5751953125,-2.5,34.522945404052734
130,-10813.8935546875,-8545.5751953125,-3.5,34.7385368347168
131,-10813.8935546875,-8545.5751953125,-4.5,34.94411087036133
132,-10813.8935546875,-8480.7109375,0.0,34.220760345458984
133,-10813.8935546875,-8480.7109375,-0.5,34.21792984008789
134,-10813.8935546875,-8480.7109375,-1.5,34.30707931518555
135,-10813.8935546875,-8480.7109375,-2.5,34.50884246826172
136,-10813.8935546875,-8480.7109375,-3.5,34.72409439086914
137,-10813.8935546875,-8480.7109375,-4.5,34.9299430847168
138,-10813.8935546875,-8415.845703125,0.0,34.220760345458984
139,-10813.8935546875,-8415.845703125,-0.5,34.21792984008789
140,-10813.8935546875,-8415.845703125,-1.5,34.30707931518555
141,-10813.8935546875,-8415.845703125,-2.5,34.50884246826172
142,-10813.8935546875,-8415.845703125,-3.5,34.72409439086914
143,-10813.8935546875,-8415.845703125,-4.5,34.9299430847168
144,-10813.8935546875,-8350.98046875,0.0,34.22173309326172
145,-10813.8935546875,-8350.98046875,-0.5,34.21870803833008
146,-10813.8935546875,-8350.98046875,-1.5,34.302757263183594
147,-10813.8935546875,-8350.98046875,-2.5,34.494258880615234
148,-10813.8935546875,-8350.98046875,-3.5,34.7085075378418
149,-10813.8935546875,-8350.98046875,-4.5,34.914634704589844
150,-10813.8935546875,-8286.1162109375,0.0,34.22282409667969
151,-10813.8935546875,-8286.1162109375,-0.5,34.21966552734375
152,-10813.8935546875,-8286.1162109375,-1.5,34.2999153137207
153,-10813.8935546875,-8286.1162109375,-2.5,34.48240280151367
154,-10813.8935546875,-8286.1162109375,-3.5,34.69511413574219
155,-10813.8935546875,-8286.1162109375,-4.5,34.901123046875
156,-10813.8935546875,-8221.2509765625,0.0,34.230735778808594
157,-10813.8935546875,-8221.2509765625,-0.5,34.227542877197266
158,-10813.8935546875,-8221.2509765625,-1.5,34.303714752197266
159,-10813.8935546875,-8221.2509765625,-2.5,34.478668212890625
160,-10813.8935546875,-8221.2509765625,-3.5,34.68907165527344
161,-10813.8935546875,-8221.2509765625,-4.5,34.896209716796875
162,-10813.8935546875,-8156.38623046875,0.0,34.23173141479492
163,-10813.8935546875,-8156.38623046875,-0.5,34.228519439697266
164,-10813.8935546875,-8156.38623046875,-1.5,34.29841613769531
165,-10813.8935546875,-8156.38623046875,-2.5,34.46289825439453
166,-10813.8935546875,-8156.38623046875,-3.5,34.6703987121582
167,-10813.8935546875,-8156.38623046875,-4.5,34.87773513793945
168,-10813.8935546875,-8091.521484375,0.0,34.23173141479492
169,-10813.8935546875,-8091.521484375,-0.5,34.228519439697266
170,-10813.8935546875,-8091.521484375,-1.5,34.29841613769531
171,-10813.8935546875,-8091.521484375,-2.5,34.46289825439453
172,-10813.8935546875,-8091.521484375,-3.5,34.6703987121582
173,-10813.8935546875,-8091.521484375,-4.5,34.87773513793945
174,-10813.8935546875,-8026.65625,0.0,34.23273849487305
175,-10813.8935546875,-8026.65625,-0.5,34.22956466674805
176,-10813.8935546875,-8026.65625,-1.5,34.2921142578125
177,-10813.8935546875,-8026.65625,-2.5,34.44540023803711
178,-10813.8935546875,-8026.65625,-3.5,34.649070739746094
179,-10813.8935546875,-8026.65625,-4.5,34.8563346862793
180,-10813.8935546875,-7961.79150390625,0.0,34.2336540222168
181,-10813.8935546875,-7961.79150390625,-0.5,34.23054504394531
182,-10813.8935546875,-7961.79150390625,-1.5,34.28852844238281
183,-10813.8935546875,-7961.79150390625,-2.5,34.433311462402344
184,-10813.8935546875,-7961.79150390625,-3.5,34.63329315185547
185,-10813.8935546875,-7961.79150390625,-4.5,34.83995056152344
186,-10813.8935546875,-7896.9267578125,0.0,34.2336540222168
187,-10813.8935546875,-7896.9267578125,-0.5,34.23054504394531
188,-10813.8935546875,-7896.9267578125,-1.5,34.28852844238281
189,-10813.8935546875,-7896.9267578125,-2.5,34.433311462402344
190,-10813.8935546875,-7896.9267578125,-3.5,34.63329315185547
191,-10813.8935546875,-7896.9267578125,-4.5,34.83995056152344
192,-10813.8935546875,-7832.06201171875,0.0,34.24154281616211
193,-10813.8935546875,-7832.06201171875,-0.5,34.23866653442383
194,-10813.8935546875,-7832.06201171875,-1.5,34.28636169433594
195,-10813.8935546875,-7832.06201171875,-2.5,34.41383361816406
196,-10813.8935546875,-7832.06201171875,-3.5,34.60416793823242
197,-10813.8935546875,-7832.06201171875,-4.5,34.81118392944336
198,-10813.8935546875,-7767.19677734375,0.0,34.2420654296875
199,-10813.8935546875,-7767.19677734375,-0.5,34.23923873901367
200,-10813.8935546875,-7767.19677734375,-1.5,34.2807502746582
201,-10813.8935546875,-7767.19677734375,-2.5,34.3984375
202,-10813.8935546875,-7767.19677734375,-3.5,34.5828857421875
203,-10813.8935546875,-7767.19677734375,-4.5,34.7886848449707
204,-10813.8935546875,-7702.33203125,0.0,34.2420654296875
205,-10813.8935546875,-7702.33203125,-0.5,34.23923873901367
206,-10813.8935546875,-7702.33203125,-1.5,34.2807502746582
207,-10813.8935546875,-7702.33203125,-2.5,34.3984375
