ind,salinity
16600.0,26.4807827161706
17200.0,25.927468076665352
17785.0,25.809695782868758
17790.0,26.08416282298953
17791.0,27.915000915527344
17795.0,25.586382417117846
17800.0,25.573138819800484
17805.0,25.882999738057453
18395.0,27.006999969482425
18400.0,25.731999942234584
18405.0,25.79533338546753
19000.0,25.45276920612042
19005.0,25.119787851969402
19600.0,23.61299991607666
19605.0,24.95505272714715
20200.0,24.07466697692871
20205.0,25.61652952082017
20206.0,29.18099975585937
20805.0,26.085777918497723
