timestamp,waterlevel,"tide(1:high tide, 0:low tide)"
1477967160.0,3.53,1.0
1477989120.0,0.9,0.0
1478011380.0,3.44,1.0
1478033040.0,0.94,0.0
1478055480.0,3.49,1.0
1478077500.0,0.95,0.0
1478099760.0,3.35,1.0
1478121360.0,1.03,0.0
1478143860.0,3.41,1.0
1478166000.0,1.04,0.0
1478188260.0,3.23,1.0
1478209800.0,1.15,0.0
1478232420.0,3.3,1.0
1478254620.0,1.17,0.0
1478276940.0,3.09,1.0
1478298480.0,1.29,0.0
1478321160.0,3.18,1.0
1478343540.0,1.3,0.0
1478365980.0,2.95,1.0
1478387460.0,1.43,0.0
1478410380.0,3.05,1.0
1478433000.0,1.43,0.0
1478455680.0,2.83,1.0
1478477160.0,1.56,0.0
1478500380.0,2.96,1.0
1478523360.0,1.5,0.0
1478546280.0,2.78,1.0
1478567880.0,1.62,0.0
1478591100.0,2.94,1.0
1478614320.0,1.48,0.0
1478637300.0,2.83,1.0
1478659080.0,1.56,0.0
1478681940.0,3.03,1.0
1478705100.0,1.35,0.0
1478727780.0,2.99,1.0
1478749740.0,1.39,0.0
1478772240.0,3.21,1.0
1478795100.0,1.14,0.0
1478817660.0,3.22,1.0
1478839620.0,1.16,0.0
1478862060.0,3.43,1.0
1478884620.0,0.91,0.0
1478907120.0,3.47,1.0
1478929140.0,0.91,0.0
1478951460.0,3.65,1.0
1478973900.0,0.71,0.0
1478996340.0,3.7,1.0
1479018420.0,0.68,0.0
1479040800.0,3.83,1.0
1479063060.0,0.55,0.0
1479085500.0,3.88,1.0
1479107580.0,0.52,0.0
1479130020.0,3.93,1.0
1479152160.0,0.47,0.0
1479174600.0,3.98,1.0
1479196800.0,0.44,0.0
1479219240.0,3.94,1.0
1479241260.0,0.49,0.0
1479263760.0,4.0,1.0
1479286080.0,0.46,0.0
1479308520.0,3.85,1.0
1479330420.0,0.59,0.0
1479352980.0,3.93,1.0
1479375420.0,0.57,0.0
1479397920.0,3.68,1.0
1479419640.0,0.77,0.0
1479442380.0,3.77,1.0
1479464880.0,0.75,0.0
1479487440.0,3.46,1.0
1479509100.0,0.99,0.0
1479531960.0,3.57,1.0
1479554700.0,0.97,0.0
1479577320.0,3.23,1.0
1479598920.0,1.23,0.0
1479621900.0,3.35,1.0
1479644940.0,1.19,0.0
1479667680.0,3.04,1.0
1479689340.0,1.43,0.0
1479712380.0,3.17,1.0
1479735720.0,1.34,0.0
1479758520.0,2.93,1.0
1479780420.0,1.54,0.0
1479803160.0,3.06,1.0
1479826680.0,1.39,0.0
1479849300.0,2.92,1.0
1479871380.0,1.55,0.0
1479893820.0,3.05,1.0
1479917040.0,1.37,0.0
1479939540.0,2.99,1.0
1479961620.0,1.47,0.0
1479983760.0,3.1,1.0
1480006560.0,1.3,0.0
1480028940.0,3.09,1.0
1480050960.0,1.37,0.0
1480073040.0,3.17,1.0
1480095480.0,1.23,0.0
1480117800.0,3.21,1.0
1480139820.0,1.26,0.0
1480161900.0,3.25,1.0
1480183980.0,1.15,0.0
1480206360.0,3.32,1.0
1480228380.0,1.15,0.0
1480250460.0,3.32,1.0
1480272360.0,1.07,0.0
1480294800.0,3.42,1.0
1480316820.0,1.06,0.0
1480338900.0,3.38,1.0
1480360740.0,1.02,0.0
1480383120.0,3.5,1.0
1480405200.0,0.99,0.0
1480427340.0,3.41,1.0
1480449060.0,0.99,0.0
1480471500.0,3.54,1.0
1480493640.0,0.96,0.0
1480515780.0,3.4,1.0
1480537380.0,1.0,0.0
1509492360.0,3.21,1.0
1509514140.0,1.16,0.0
1509536400.0,3.4,1.0
1509558840.0,0.94,0.0
1509581160.0,3.43,1.0
1509603060.0,0.94,0.0
1509625320.0,3.6,1.0
1509647580.0,0.75,0.0
1509669960.0,3.64,1.0
1509691860.0,0.74,0.0
1509714180.0,3.77,1.0
1509736380.0,0.6,0.0
1509758760.0,3.8,1.0
1509780720.0,0.59,0.0
1509803100.0,3.87,1.0
1509825180.0,0.53,0.0
1509847620.0,3.89,1.0
1509869700.0,0.52,0.0
1509892080.0,3.88,1.0
1509914160.0,0.54,0.0
1509936600.0,3.9,1.0
1509958800.0,0.54,0.0
1509981240.0,3.8,1.0
1510003200.0,0.64,0.0
1510025760.0,3.82,1.0
1510048080.0,0.64,0.0
1510070580.0,3.64,1.0
1510092480.0,0.82,0.0
1510115100.0,3.68,1.0
1510137600.0,0.81,0.0
1510160280.0,3.43,1.0
1510182060.0,1.04,0.0
1510204920.0,3.5,1.0
1510227660.0,1.01,0.0
1510250460.0,3.2,1.0
1510272180.0,1.26,0.0
1510295220.0,3.32,1.0
1510318380.0,1.19,0.0
1510341300.0,3.04,1.0
1510363140.0,1.43,0.0
1510386180.0,3.19,1.0
1510409700.0,1.27,0.0
1510432620.0,2.99,1.0
1510454640.0,1.47,0.0
1510477320.0,3.17,1.0
1510500840.0,1.25,0.0
1510523520.0,3.05,1.0
1510545540.0,1.39,0.0
1510567980.0,3.24,1.0
1510591080.0,1.17,0.0
1510613520.0,3.17,1.0
1510635540.0,1.27,0.0
1510657800.0,3.33,1.0
1510680480.0,1.08,0.0
1510702860.0,3.3,1.0
1510724820.0,1.14,0.0
1510747020.0,3.41,1.0
1510769340.0,1.0,0.0
1510791660.0,3.41,1.0
1510813620.0,1.04,0.0
1510835820.0,3.47,1.0
1510857900.0,0.95,0.0
1510880220.0,3.5,1.0
1510902180.0,0.96,0.0
1510924380.0,3.5,1.0
1510946280.0,0.92,0.0
1510968660.0,3.55,1.0
1510990620.0,0.92,0.0
1511012820.0,3.49,1.0
1511034600.0,0.92,0.0
1511056980.0,3.58,1.0
1511079060.0,0.91,0.0
1511101260.0,3.46,1.0
1511122920.0,0.95,0.0
1511145360.0,3.56,1.0
1511167440.0,0.94,0.0
1511189700.0,3.4,1.0
1511211240.0,1.02,0.0
1511233800.0,3.51,1.0
1511255940.0,1.01,0.0
1511278200.0,3.3,1.0
1511299680.0,1.12,0.0
1511322300.0,3.42,1.0
1511344500.0,1.12,0.0
1511366820.0,3.17,1.0
1511388240.0,1.25,0.0
1511410920.0,3.3,1.0
1511433300.0,1.24,0.0
1511455680.0,3.04,1.0
1511476980.0,1.39,0.0
1511499840.0,3.17,1.0
