timestamp,waterlevel,"tide(1:high tide, 0:low tide)"
1456790820.0,1.5,0.0
1456813500.0,2.9,1.0
1456835580.0,1.56,0.0
1456858620.0,2.85,1.0
1456880880.0,1.64,0.0
1456903740.0,2.75,1.0
1456926060.0,1.67,0.0
1456949460.0,2.78,1.0
1456972320.0,1.69,0.0
1456995240.0,2.71,1.0
1457017620.0,1.67,0.0
1457040900.0,2.85,1.0
1457063940.0,1.59,0.0
1457086500.0,2.82,1.0
1457108640.0,1.54,0.0
1457131500.0,3.03,1.0
1457154300.0,1.38,0.0
1457176620.0,3.03,1.0
1457198580.0,1.31,0.0
1457221140.0,3.28,1.0
1457243700.0,1.11,0.0
1457266020.0,3.28,1.0
1457287860.0,1.05,0.0
1457310360.0,3.56,1.0
1457332800.0,0.84,0.0
1457355120.0,3.53,1.0
1457376900.0,0.8,0.0
1457399340.0,3.8,1.0
1457421720.0,0.6,0.0
1457444040.0,3.73,1.0
1457465820.0,0.6,0.0
1457488320.0,3.99,1.0
1457510640.0,0.44,0.0
1457532960.0,3.87,1.0
1457554740.0,0.47,0.0
1457577240.0,4.09,1.0
1457599560.0,0.37,0.0
1457621880.0,3.93,1.0
1457643720.0,0.43,0.0
1457666280.0,4.08,1.0
1457688540.0,0.41,0.0
1457710860.0,3.88,1.0
1457732760.0,0.5,0.0
1457755380.0,3.96,1.0
1457777580.0,0.56,0.0
1457800020.0,3.75,1.0
1457821980.0,0.66,0.0
1457844600.0,3.74,1.0
1457866800.0,0.79,0.0
1457889360.0,3.55,1.0
1457911440.0,0.89,0.0
1457934180.0,3.46,1.0
1457956380.0,1.06,0.0
1457979060.0,3.32,1.0
1458001440.0,1.15,0.0
1458024360.0,3.17,1.0
1458046560.0,1.32,0.0
1458069540.0,3.11,1.0
1458092460.0,1.36,0.0
1458115440.0,2.94,1.0
1458137820.0,1.5,0.0
1458160920.0,3.0,1.0
1458184380.0,1.44,0.0
1458207240.0,2.87,1.0
1458229620.0,1.53,0.0
1458252360.0,3.03,1.0
1458275760.0,1.37,0.0
1458298260.0,2.95,1.0
1458320340.0,1.43,0.0
1458342840.0,3.15,1.0
1458365820.0,1.23,0.0
1458388140.0,3.08,1.0
1458409920.0,1.28,0.0
1458432240.0,3.29,1.0
