timestamp,waterlevel,"tide(1:high tide, 0:low tide)"
1508858940.0,3.12,1.0
1508880480.0,1.27,0.0
1508903160.0,3.16,1.0
1508925420.0,1.31,0.0
1508947920.0,2.94,1.0
1508969340.0,1.45,0.0
1508992260.0,3.0,1.0
1509014820.0,1.48,0.0
1509037500.0,2.77,1.0
1509058860.0,1.62,0.0
1509082140.0,2.86,1.0
1509105060.0,1.6,0.0
1509128100.0,2.66,1.0
1509149580.0,1.73,0.0
1509172980.0,2.79,1.0
1509196380.0,1.64,0.0
1509219360.0,2.67,1.0
1509244740.0,1.72,0.0
1509267660.0,2.84,1.0
1509290940.0,1.54,0.0
1509313620.0,2.79,1.0
1509335400.0,1.59,0.0
1509357900.0,2.98,1.0
1509380820.0,1.37,0.0
1509403260.0,2.98,1.0
1509425040.0,1.39,0.0
1509447360.0,3.18,1.0
1509469980.0,1.16,0.0
1569896220.0,3.85,1.0
1569918180.0,0.49,0.0
1569940740.0,3.88,1.0
1569962820.0,0.6,0.0
1569985200.0,3.71,1.0
1570007220.0,0.67,0.0
1570029840.0,3.63,1.0
1570051860.0,0.84,0.0
1570074360.0,3.5,1.0
1570096500.0,0.93,0.0
1570119180.0,3.33,1.0
1570141080.0,1.13,0.0
1570163760.0,3.25,1.0
1570186200.0,1.2,0.0
1570209000.0,3.03,1.0
1570230780.0,1.41,0.0
1570253820.0,3.02,1.0
1570276740.0,1.44,0.0
1570299660.0,2.79,1.0
1570321560.0,1.63,0.0
1570344780.0,2.86,1.0
1570368540.0,1.56,0.0
1570391460.0,2.69,1.0
1570413600.0,1.7,0.0
1570436400.0,2.84,1.0
1570460220.0,1.53,0.0
1570482780.0,2.75,1.0
1570504800.0,1.63,0.0
1570527120.0,2.93,1.0
1570550340.0,1.41,0.0
1570572660.0,2.88,1.0
1570594440.0,1.49,0.0
1570616580.0,3.08,1.0
1570639380.0,1.26,0.0
1570661580.0,3.04,1.0
1570683240.0,1.32,0.0
1570705380.0,3.23,1.0
1570727820.0,1.12,0.0
1570750020.0,3.19,1.0
1570771620.0,1.17,0.0
1570793820.0,3.37,1.0
1570816080.0,1.0,0.0
1570838220.0,3.33,1.0
1570859880.0,1.03,0.0
1570882080.0,3.48,1.0
1570904220.0,0.9,0.0
1570926420.0,3.44,1.0
1570948080.0,0.92,0.0
1570970340.0,3.56,1.0
1570992360.0,0.84,0.0
1571014560.0,3.51,1.0
1571036280.0,0.86,0.0
1571058540.0,3.59,1.0
1571080500.0,0.82,0.0
1571102760.0,3.54,1.0
1571124540.0,0.84,0.0
1571146800.0,3.56,1.0
1571168700.0,0.85,0.0
1571190960.0,3.52,1.0
1571212860.0,0.88,0.0
1571235120.0,3.49,1.0
1571257020.0,0.92,0.0
1571279340.0,3.46,1.0
1571301240.0,0.96,0.0
1571323560.0,3.37,1.0
1571345400.0,1.04,0.0
1571367840.0,3.36,1.0
1571389920.0,1.08,0.0
1571412240.0,3.22,1.0
1571434080.0,1.19,0.0
1571456640.0,3.23,1.0
1571478960.0,1.23,0.0
1571501460.0,3.05,1.0
1571523240.0,1.36,0.0
1571546100.0,3.09,1.0
1571568720.0,1.37,0.0
1571591520.0,2.9,1.0
1571613300.0,1.52,0.0
1571636520.0,2.99,1.0
1571659680.0,1.46,0.0
1571682840.0,2.81,1.0
1571704680.0,1.59,0.0
1571728020.0,2.98,1.0
1571751540.0,1.42,0.0
1571774580.0,2.88,1.0
1571796480.0,1.52,0.0
1571819340.0,3.12,1.0
1571842680.0,1.24,0.0
1571865360.0,3.07,1.0
1571887260.0,1.31,0.0
1571909760.0,3.35,1.0
1571932740.0,1.0,0.0
1571955240.0,3.32,1.0
1571977080.0,1.05,0.0
1571999520.0,3.6,1.0
1572022200.0,0.77,0.0
1572044580.0,3.56,1.0
1572066420.0,0.81,0.0
1572088860.0,3.82,1.0
1572111360.0,0.59,0.0
1572133680.0,3.75,1.0
1572159180.0,0.61,0.0
1572181620.0,3.95,1.0
1572203940.0,0.49,0.0
1572226260.0,3.88,1.0
1572248220.0,0.51,0.0
1572270660.0,3.98,1.0
1572292800.0,0.48,0.0
1572315120.0,3.92,1.0
1572337200.0,0.5,0.0
1572359640.0,3.92,1.0
1572381660.0,0.57,0.0
1572404040.0,3.87,1.0
1572426180.0,0.59,0.0
1572448620.0,3.75,1.0
1572470460.0,0.73,0.0
1572492960.0,3.73,1.0
1572515160.0,0.76,0.0
1572537660.0,3.53,1.0
1572559380.0,0.96,0.0
1538346000.0,1.18,0.0
1538368740.0,3.16,1.0
1538391120.0,1.23,0.0
1538413920.0,3.03,1.0
1538436000.0,1.36,0.0
1538459040.0,3.04,1.0
1538481900.0,1.36,0.0
1538505060.0,2.89,1.0
1538527200.0,1.48,0.0
1538550420.0,3.0,1.0
1538573820.0,1.37,0.0
1538596860.0,2.9,1.0
1538619060.0,1.45,0.0
1538641980.0,3.1,1.0
1538665320.0,1.22,0.0
1538688000.0,3.05,1.0
1538710020.0,1.28,0.0
1538732580.0,3.31,1.0
1538755620.0,1.0,0.0
1538778120.0,3.27,1.0
1538799960.0,1.05,0.0
1538822400.0,3.55,1.0
1538845140.0,0.78,0.0
1538867520.0,3.48,1.0
1538889360.0,0.83,0.0
1538911740.0,3.75,1.0
1538934300.0,0.61,0.0
1538956560.0,3.65,1.0
1538978400.0,0.66,0.0
1539000840.0,3.88,1.0
1539023160.0,0.52,0.0
