x,y,z,mvar
0.0,4799.999999999998,-0.5,0.07791091185783687
0.0,4799.999999999998,-1.5,0.021498948552472245
0.0,4799.999999999998,-2.5,0.00011562097350637014
0.0,4799.999999999998,-3.5,8.343070737010436e-05
0.0,4799.999999999998,-4.5,7.907667983619278e-05
69.74789915939706,4799.9542659782355,-0.5,0.05597755547596723
69.74789915939706,4799.9542659782355,-1.5,0.013273427318348746
69.74789915939706,4799.9542659782355,-2.5,7.118208227545884e-05
69.74789915939706,4799.9542659782355,-3.5,5.3281024950362536e-05
69.74789915939706,4799.9542659782355,-4.5,5.077812068619593e-05
139.4957983195851,4799.908531382474,-0.5,0.05033270367659937
139.4957983195851,4799.908531382474,-1.5,0.01249662092701225
139.4957983195851,4799.908531382474,-2.5,7.24563670688409e-05
139.4957983195851,4799.908531382474,-3.5,5.495092506403966e-05
139.4957983195851,4799.908531382474,-4.5,5.236386253771797e-05
209.24369747898217,4799.862796212717,-0.5,0.040643420158188275
209.24369747898217,4799.862796212717,-1.5,0.008993043740521945
209.24369747898217,4799.862796212717,-2.5,5.391497813106673e-05
209.24369747898217,4799.862796212717,-3.5,4.079708875483438e-05
209.24369747898217,4799.862796212717,-4.5,3.883830120813691e-05
278.99159663837924,4799.817060468971,-0.5,0.035082961517509635
278.99159663837924,4799.817060468971,-1.5,0.007860800659382104
278.99159663837924,4799.817060468971,-2.5,4.646684987025875e-05
278.99159663837924,4799.817060468971,-3.5,3.522145655764296e-05
278.99159663837924,4799.817060468971,-4.5,3.348150704921536e-05
348.73949579856725,4799.77132415124,-0.5,0.028435184403480054
348.73949579856725,4799.77132415124,-1.5,0.005913472139742821
348.73949579856725,4799.77132415124,-2.5,3.987166375664102e-05
348.73949579856725,4799.77132415124,-3.5,3.093134149975386e-05
348.73949579856725,4799.77132415124,-4.5,2.956458503479261e-05
418.48739495796434,4799.725587259532,-0.5,0.025647108826078038
418.48739495796434,4799.725587259532,-1.5,0.005077215003030661
418.48739495796434,4799.725587259532,-2.5,3.614387565337636e-05
418.48739495796434,4799.725587259532,-3.5,2.9126783865789693e-05
418.48739495796434,4799.725587259532,-4.5,2.791239354980187e-05
488.2352941173614,4799.679849793852,-0.5,0.021260359007579912
488.2352941173614,4799.679849793852,-1.5,0.0042029816401518505
488.2352941173614,4799.679849793852,-2.5,3.6520610362744385e-05
488.2352941173614,4799.679849793852,-3.5,2.99496215878454e-05
488.2352941173614,4799.679849793852,-4.5,2.8868264986029046e-05
557.9831932775495,4799.6341117542015,-0.5,0.018584214804638732
557.9831932775495,4799.6341117542015,-1.5,0.0035352365239012472
557.9831932775495,4799.6341117542015,-2.5,3.947784635586229e-05
557.9831932775495,4799.6341117542015,-3.5,3.198740886242107e-05
557.9831932775495,4799.6341117542015,-4.5,3.0771649702302985e-05
627.7310924369465,4799.588373140593,-0.5,0.01586638279678721
627.7310924369465,4799.588373140593,-1.5,0.0030264323058784228
627.7310924369465,4799.588373140593,-2.5,3.2921826535303455e-05
627.7310924369465,4799.588373140593,-3.5,2.685565865760849e-05
627.7310924369465,4799.588373140593,-4.5,2.5808207458375336e-05
697.4789915963436,4799.542633953025,-0.5,0.014416427854518738
697.4789915963436,4799.542633953025,-1.5,0.0025792023595985823
697.4789915963436,4799.542633953025,-2.5,3.2924227292096614e-05
697.4789915963436,4799.542633953025,-3.5,2.7139185371020836e-05
697.4789915963436,4799.542633953025,-4.5,2.6167476748775534e-05
767.2268907565316,4799.496894191508,-0.5,0.012097536846411686
767.2268907565316,4799.496894191508,-1.5,0.0023589705864704735
767.2268907565316,4799.496894191508,-2.5,2.8261167897055318e-05
767.2268907565316,4799.496894191508,-3.5,2.3758182905938427e-05
767.2268907565316,4799.496894191508,-4.5,2.3003651469504326e-05
836.9747899159287,4799.451153856045,-0.5,0.010976131077088891
836.9747899159287,4799.451153856045,-1.5,0.0019866323599266075
836.9747899159287,4799.451153856045,-2.5,2.719372684121768e-05
836.9747899159287,4799.451153856045,-3.5,2.2843454669173677e-05
836.9747899159287,4799.451153856045,-4.5,2.2118538991373835e-05
906.7226890753258,4799.405412946641,-0.5,0.009584924172890174
906.7226890753258,4799.405412946641,-1.5,0.0017914444340511675
906.7226890753258,4799.405412946641,-2.5,3.3091894649815824e-05
906.7226890753258,4799.405412946641,-3.5,2.70399187107346e-05
906.7226890753258,4799.405412946641,-4.5,2.6098367804438066e-05
976.4705882355139,4799.359671463302,-0.5,0.00921882046692239
976.4705882355139,4799.359671463302,-1.5,0.0016207019374666447
976.4705882355139,4799.359671463302,-2.5,2.969455507156585e-05
976.4705882355139,4799.359671463302,-3.5,2.4676738137578538e-05
976.4705882355139,4799.359671463302,-4.5,2.3779418209336635e-05
1046.2184873949109,4799.313929406036,-0.5,0.008340905925392252
1046.2184873949109,4799.313929406036,-1.5,0.0015648880449724324
1046.2184873949109,4799.313929406036,-2.5,2.67805882291909e-05
1046.2184873949109,4799.313929406036,-3.5,2.301646959226051e-05
1046.2184873949109,4799.313929406036,-4.5,2.2215344000563535e-05
1115.9663865543077,4799.268186774846,-0.5,0.007514850844433191
1115.9663865543077,4799.268186774846,-1.5,0.0014313739328048224
1115.9663865543077,4799.268186774846,-2.5,3.188485821996042e-05
1115.9663865543077,4799.268186774846,-3.5,2.6813313115987035e-05
1115.9663865543077,4799.268186774846,-4.5,2.5924231442624608e-05
1185.7142857144959,4799.222443569736,-0.5,0.0071540539942064624
1185.7142857144959,4799.222443569736,-1.5,0.001281885292519138
1185.7142857144959,4799.222443569736,-2.5,2.9944583193571265e-05
1185.7142857144959,4799.222443569736,-3.5,2.599386889657441e-05
1185.7142857144959,4799.222443569736,-4.5,2.529988823853759e-05
1255.462184873893,4799.176699790715,-0.5,0.006761147601247052
1255.462184873893,4799.176699790715,-1.5,0.0012787225094203472
1255.462184873893,4799.176699790715,-2.5,3.323516761765368e-05
1255.462184873893,4799.176699790715,-3.5,2.871368362124642e-05
1255.462184873893,4799.176699790715,-4.5,2.7744636337483056e-05
1325.21008403329,4799.130955437788,-0.5,0.005946095403062343
