x,y
7214.383673632812,6062.136539298001
7170.728676870416,6069.203864714289
7110.310137620536,6079.74777032815
7050.063857848383,6091.024894439573
6989.996248934365,6103.032581366439
6930.1137222668,6115.768175426322
6870.422689228468,6129.2290209367375
6810.929561203734,6143.412462215582
6751.640749576961,6158.315843580293
6692.56266573172,6173.936509348673
6633.701721053956,6190.271803838288
6575.064326927242,6207.319071366801
6516.656894735151,6225.075656251905
6458.4858358636275,6243.538902811303
6400.55756169466,6262.7061553625945
6342.878483614987,6282.574758223337
6285.455013008179,6303.142055711333
6228.2935612578085,6324.405392144195
6171.40053974824,6346.362111839702
6114.782359865418,6369.00955911519
6058.445432992122,6392.345078288444
6002.396170512717,6416.366013677308
5946.640983812358,6441.06970959935
5891.186284275405,6466.453510372012
5836.038483285433,6492.514760313263
5781.203992226805,6519.250803740491
5726.689222483883,6546.658984971556
5672.5005854418205,6574.736648323923
5618.644492484983,6603.481138115356
5565.127354996149,6632.889798663613
5511.955584361266,6662.9599742861565
5459.135591962324,6693.689009300859
5406.673789187639,6725.074248025058
5354.576587418413,6757.113034776645
5302.8503980405885,6789.802713873229
5251.501632436948,6823.14062963255
5200.536701992646,6857.124126372059
5149.962018092046,6891.750548409555
5099.783992119509,6927.017240062564
5050.0090354594,6962.9215456489255
5000.643559496082,6999.4608094862615
4951.693975613127,7036.632375892211
4903.166695195688,7074.433589184269
4855.06812962813,7112.8617936801475
4807.404690294816,7151.914333697695
4760.1827885801085,7191.588553554428
4713.40883586758,7231.881797567882
4667.089243541593,7272.791410055961
4621.230422987302,7314.314735336179
4575.83878558907,7356.449117726269
4530.920742730469,7399.191901543805
4486.482705796654,7442.54043110631
4464.466094067643,7464.466094067207
4442.540431106233,7486.482705796648
4399.191901543606,7530.920742730819
4356.449117725938,7575.838785589186
4314.314735336149,7621.230422987696
4272.791410056372,7667.0892435418
4231.881797567943,7713.4088358672625
4191.588553554576,7760.182788579841
4151.914333697609,7807.404690294992
4112.861793679964,7855.068129628522
4074.43358918456,7903.166695195951
4036.6323758919475,7951.69397561311
3999.4608094866276,8000.643559495731
3962.921545649149,8050.009035459244
3927.017240062433,8099.783992119508
3891.7505484094004,8149.962018091945
3857.1241263721804,8200.536701992509
3823.1406296321134,8251.50163243678
3789.8027138721195,8302.850398040258
3757.113034776702,8354.576587418742
3725.0742480248264,8406.673789187984
3693.6890093017873,8459.135591963548
3662.959974287341,8511.955584361012
3632.8897986636184,8565.127354996199
3603.481138115122,8618.644492484598
3574.736648323982,8672.500585442123
3546.6589849723287,8726.689222484316
3519.250803740709,8781.203992226767
3492.5147603128357,8836.038483285145
3466.4535103724206,8891.186284275254
3441.0697095992214,8946.640983812571
3416.36601367774,9002.396170512993
3392.3450782885243,9058.445432991997
3369.0095591152876,9114.782359865345
3346.3621118393685,9171.400539748627
3324.405392144478,9228.293561257618
3303.1420557119554,9285.45501300776
3282.574758223141,9342.87848361504
3262.7061553625367,9400.557561694844
3243.5389028114814,9458.485835863057
3225.075656252105,9516.656894735155
3207.319071366538,9575.064326926828
3190.2718038384924,9633.701721053867
3173.936509348516,9692.562665732006
3158.3158435803207,9751.640749576614
3143.4124622152467,9810.929561203497
3129.2290209370044,9870.422689228386
3115.768175426142,9930.113722266955
3103.0325813663717,9989.996248934693
3091.0248944398245,10050.063857847437
3079.7477703286286,10110.310137620916
3069.203864714124,10170.72867687047
3059.3958332808143,10231.313064212169
3050.326331710037,10292.056888261284
3041.9980156823417,10352.953737633821
3034.4135408838124,10413.99720094534
3027.5755629926243,10475.180866811404
3021.4867376940715,10536.498323847713
3016.149720669493,10597.943160669987
3011.5671676018096,10659.508965893945
3007.7417341731516,10721.189328134968
3004.6760760648576,10782.977836009193
3002.372848959849,10844.868078131805
3000.8347085418372,10906.853643118788
3000.06431049058,10968.928119585646
3000.0000000001796,11000.000000000031
3000.06431049058,11031.071880414225
3000.7444818092763,11085.876378493944
8832.345299131766,11091.949660781085
11678.38384112084,10215.621136408985
12489.003628147875,8798.133481916942
12480.749196259194,8781.203992226652
12453.341015028363,8726.68922248432
12425.26335167592,8672.50058544219
12396.518861883987,8618.644492484642
12367.110201336283,8565.12735499617
12337.040025714143,8511.955584360956
12306.310990698905,8459.135591963455
12274.925751975077,8406.673789188
12242.886965223992,8354.57658741884
12210.197286126991,8302.85039804026
12176.85937036858,8251.501632436673
12142.875873628513,8200.536701992485
12108.249451590504,8149.962018091942
12072.98275993747,8099.783992119504
12037.078454350753,8050.009035459291
12000.539190514855,8000.643559495669
11963.367624107954,7951.693975613189
11925.566410816133,7903.166695196021
11887.138206319149,7855.068129628419
11848.085666302293,7807.404690294937
11808.411446445325,7760.182788579761
