x,y,z,mvar
0.0,4799.999999999998,-0.5,0.06941638115851792
0.0,4799.999999999998,-1.5,0.021404933033136685
0.0,4799.999999999998,-2.5,0.00011725189149183831
0.0,4799.999999999998,-3.5,8.67833180252826e-05
0.0,4799.999999999998,-4.5,8.262086825082691e-05
69.74789915939706,4799.9542659782355,-0.5,0.0493902714195881
69.74789915939706,4799.9542659782355,-1.5,0.013081067085339551
69.74789915939706,4799.9542659782355,-2.5,6.697483443893998e-05
69.74789915939706,4799.9542659782355,-3.5,4.9618211058511866e-05
69.74789915939706,4799.9542659782355,-4.5,4.733816190994469e-05
139.4957983195851,4799.908531382474,-0.5,0.04510254353894347
139.4957983195851,4799.908531382474,-1.5,0.012714923714442468
139.4957983195851,4799.908531382474,-2.5,7.466618749651273e-05
139.4957983195851,4799.908531382474,-3.5,5.5255046069667645e-05
139.4957983195851,4799.908531382474,-4.5,5.26334044901879e-05
209.24369747898217,4799.862796212717,-0.5,0.0349873684025297
209.24369747898217,4799.862796212717,-1.5,0.008762289879065932
209.24369747898217,4799.862796212717,-2.5,4.642198823576441e-05
209.24369747898217,4799.862796212717,-3.5,3.521345874733357e-05
209.24369747898217,4799.862796212717,-4.5,3.3571978646956456e-05
278.99159663837924,4799.817060468971,-0.5,0.031140954313796387
278.99159663837924,4799.817060468971,-1.5,0.00786295876494224
278.99159663837924,4799.817060468971,-2.5,5.559115754561554e-05
278.99159663837924,4799.817060468971,-3.5,4.2075578524856363e-05
278.99159663837924,4799.817060468971,-4.5,4.018540924594922e-05
348.73949579856725,4799.77132415124,-0.5,0.025167648201647047
348.73949579856725,4799.77132415124,-1.5,0.0056827580956261186
348.73949579856725,4799.77132415124,-2.5,4.162223960771283e-05
348.73949579856725,4799.77132415124,-3.5,3.226255933903399e-05
348.73949579856725,4799.77132415124,-4.5,3.0839609947425366e-05
418.48739495796434,4799.725587259532,-0.5,0.02220337687329043
418.48739495796434,4799.725587259532,-1.5,0.005317725411400573
418.48739495796434,4799.725587259532,-2.5,3.929965547344803e-05
418.48739495796434,4799.725587259532,-3.5,3.12708233527295e-05
418.48739495796434,4799.725587259532,-4.5,3.0017116082685565e-05
488.2352941173614,4799.679849793852,-0.5,0.018794741279066694
488.2352941173614,4799.679849793852,-1.5,0.004242822417291946
488.2352941173614,4799.679849793852,-2.5,3.893104741909872e-05
488.2352941173614,4799.679849793852,-3.5,3.1094268740737255e-05
488.2352941173614,4799.679849793852,-4.5,2.9779529163443055e-05
557.9831932775495,4799.6341117542015,-0.5,0.016385082518541042
557.9831932775495,4799.6341117542015,-1.5,0.003781501172620032
557.9831932775495,4799.6341117542015,-2.5,3.45306103962805e-05
557.9831932775495,4799.6341117542015,-3.5,2.7773314293104678e-05
557.9831932775495,4799.6341117542015,-4.5,2.676535909894781e-05
627.7310924369465,4799.588373140593,-0.5,0.014212625926617579
627.7310924369465,4799.588373140593,-1.5,0.00302166724538527
627.7310924369465,4799.588373140593,-2.5,3.093630608700735e-05
627.7310924369465,4799.588373140593,-3.5,2.531064973285833e-05
627.7310924369465,4799.588373140593,-4.5,2.439659089541453e-05
697.4789915963436,4799.542633953025,-0.5,0.012363326383875394
697.4789915963436,4799.542633953025,-1.5,0.0026313858175460295
697.4789915963436,4799.542633953025,-2.5,3.0027852380992312e-05
697.4789915963436,4799.542633953025,-3.5,2.4288408775417705e-05
697.4789915963436,4799.542633953025,-4.5,2.3412735583174902e-05
767.2268907565316,4799.496894191508,-0.5,0.01099871235637371
767.2268907565316,4799.496894191508,-1.5,0.002204662573558581
767.2268907565316,4799.496894191508,-2.5,2.7945497483538008e-05
767.2268907565316,4799.496894191508,-3.5,2.3305929531408775e-05
767.2268907565316,4799.496894191508,-4.5,2.257395836155785e-05
836.9747899159287,4799.451153856045,-0.5,0.009547585982838473
836.9747899159287,4799.451153856045,-1.5,0.0019320980486861798
836.9747899159287,4799.451153856045,-2.5,3.0989662806135705e-05
836.9747899159287,4799.451153856045,-3.5,2.6594844079501068e-05
836.9747899159287,4799.451153856045,-4.5,2.5681196394674026e-05
906.7226890753258,4799.405412946641,-0.5,0.008734341153408253
906.7226890753258,4799.405412946641,-1.5,0.0018488855545387888
906.7226890753258,4799.405412946641,-2.5,3.0473295928103075e-05
906.7226890753258,4799.405412946641,-3.5,2.5826781703280288e-05
906.7226890753258,4799.405412946641,-4.5,2.4994055683480428e-05
976.4705882355139,4799.359671463302,-0.5,0.007744548437748533
976.4705882355139,4799.359671463302,-1.5,0.0015487751022757272
976.4705882355139,4799.359671463302,-2.5,2.3755627912214576e-05
976.4705882355139,4799.359671463302,-3.5,1.9756661698269527e-05
976.4705882355139,4799.359671463302,-4.5,1.917178790321864e-05
1046.2184873949109,4799.313929406036,-0.5,0.006875690660788076
1046.2184873949109,4799.313929406036,-1.5,0.0013735263355934022
1046.2184873949109,4799.313929406036,-2.5,3.587293687012752e-05
1046.2184873949109,4799.313929406036,-3.5,3.107757211730604e-05
1046.2184873949109,4799.313929406036,-4.5,3.0142527833260705e-05
1115.9663865543077,4799.268186774846,-0.5,0.0064513442567763375
1115.9663865543077,4799.268186774846,-1.5,0.0012781984141806686
1115.9663865543077,4799.268186774846,-2.5,2.7246055515494687e-05
1115.9663865543077,4799.268186774846,-3.5,2.330243748265908e-05
1115.9663865543077,4799.268186774846,-4.5,2.259085699840461e-05
1185.7142857144959,4799.222443569736,-0.5,0.005946813515598963
1185.7142857144959,4799.222443569736,-1.5,0.001202342608960083
1185.7142857144959,4799.222443569736,-2.5,2.963165848891366e-05
1185.7142857144959,4799.222443569736,-3.5,2.5100971098395975e-05
1185.7142857144959,4799.222443569736,-4.5,2.4367682160033704e-05
1255.462184873893,4799.176699790715,-0.5,0.006008402819480412
1255.462184873893,4799.176699790715,-1.5,0.0012295654519734907
1255.462184873893,4799.176699790715,-2.5,3.5706766289630863e-05
1255.462184873893,4799.176699790715,-3.5,3.0457286667212256e-05
1255.462184873893,4799.176699790715,-4.5,2.9533786739790777e-05
1325.21008403329,4799.130955437788,-0.5,0.004622619048434955
1325.21008403329,4799.130955437788,-1.5,0.0011003336654032217
1325.21008403329,4799.130955437788,-2.5,3.283332393219328e-05
1325.21008403329,4799.130955437788,-3.5,2.7740074541464373e-05
1325.21008403329,4799.130955437788,-4.5,2.6793755408290424e-05
1394.9579831934782,4799.085210510956,-0.5,0.005428906081049576
1394.9579831934782,4799.085210510956,-1.5,0.0011180396974485465
1394.9579831934782,4799.085210510956,-2.5,3.268583767099325e-05
1394.9579831934782,4799.085210510956,-3.5,2.777920168036695e-05
1394.9579831934782,4799.085210510956,-4.5,2.692602521248115e-05
1464.7058823528753,4799.03946501023,-0.5,0.004157597779210677
1464.7058823528753,4799.03946501023,-1.5,0.0009925180574326643
1464.7058823528753,4799.03946501023,-2.5,3.715712377455805e-05
1464.7058823528753,4799.03946501023,-3.5,3.140991721502615e-05
1464.7058823528753,4799.03946501023,-4.5,3.038239182989892e-05
1534.4537815122724,4798.993718935613,-0.5,0.004647774062556996
1534.4537815122724,4798.993718935613,-1.5,0.0011347931912661395
1534.4537815122724,4798.993718935613,-2.5,3.3475004696281965e-05
1534.4537815122724,4798.993718935613,-3.5,2.8540590269852003e-05
1534.4537815122724,4798.993718935613,-4.5,2.761877869927447e-05
1604.2016806724603,4798.94797228711,-0.5,0.0044156787628787525
1604.2016806724603,4798.94797228711,-1.5,0.0008753868501155177
1604.2016806724603,4798.94797228711,-2.5,3.769220908948523e-05
1604.2016806724603,4798.94797228711,-3.5,3.3122920192947684e-05
1604.2016806724603,4798.94797228711,-4.5,3.200763649607958e-05
1673.9495798318574,4798.902225064727,-0.5,0.0040986523109140215
1673.9495798318574,4798.902225064727,-1.5,0.0010531861918967895
1673.9495798318574,4798.902225064727,-2.5,3.610496668758166e-05
1673.9495798318574,4798.902225064727,-3.5,3.078192838717679e-05
1673.9495798318574,4798.902225064727,-4.5,2.987862903506566e-05
1743.6974789912547,4798.85647726847,-0.5,0.004410026010366781
1743.6974789912547,4798.85647726847,-1.5,0.0009893951150927245
1743.6974789912547,4798.85647726847,-2.5,3.748983803188493e-05
1743.6974789912547,4798.85647726847,-3.5,3.214677908879543e-05
1743.6974789912547,4798.85647726847,-4.5,3.1185260124424476e-05
1813.4453781514426,4798.810728898345,-0.5,0.005066928538175361
1813.4453781514426,4798.810728898345,-1.5,0.0009493807848580603
1813.4453781514426,4798.810728898345,-2.5,4.280010899985597e-05
1813.4453781514426,4798.810728898345,-3.5,3.672255306117018e-05
1813.4453781514426,4798.810728898345,-4.5,3.547261824741544e-05
1883.1932773108392,4798.764979954355,-0.5,0.004801105344664986
1883.1932773108392,4798.764979954355,-1.5,0.0009796063947496445
1883.1932773108392,4798.764979954355,-2.5,4.2951517067195554e-05
1883.1932773108392,4798.764979954355,-3.5,3.760987445460431e-05
1883.1932773108392,4798.764979954355,-4.5,3.651538474181211e-05
1952.9411764702365,4798.719230436509,-0.5,0.005201140201160432
1952.9411764702365,4798.719230436509,-1.5,0.0010260181362997758
1952.9411764702365,4798.719230436509,-2.5,5.0061514732359824e-05
1952.9411764702365,4798.719230436509,-3.5,4.295761284306878e-05
1952.9411764702365,4798.719230436509,-4.5,4.164558743201773e-05
