x,y,z,salinity
0.0,4799.999999999998,-0.5,34.330108095882196
0.0,4799.999999999998,-1.5,34.860443226834725
0.0,4799.999999999998,-2.5,35.0890925350997
0.0,4799.999999999998,-3.5,35.16403632595311
0.0,4799.999999999998,-4.5,35.20092466522003
69.74789915939706,4799.9542659782355,-0.5,34.323131527990235
69.74789915939706,4799.9542659782355,-1.5,34.85793114150325
69.74789915939706,4799.9542659782355,-2.5,35.088255531714815
69.74789915939706,4799.9542659782355,-3.5,35.16371119576381
69.74789915939706,4799.9542659782355,-4.5,35.20077009452063
139.4957983195851,4799.908531382474,-0.5,34.30943110096737
139.4957983195851,4799.908531382474,-1.5,34.85330322842066
139.4957983195851,4799.908531382474,-2.5,35.08696718138542
139.4957983195851,4799.908531382474,-3.5,35.163304268714676
139.4957983195851,4799.908531382474,-4.5,35.20067072340621
209.24369747898217,4799.862796212717,-0.5,34.29551078652676
209.24369747898217,4799.862796212717,-1.5,34.84867299212419
209.24369747898217,4799.862796212717,-2.5,35.08575995546643
209.24369747898217,4799.862796212717,-3.5,35.16328966393562
209.24369747898217,4799.862796212717,-4.5,35.200836514150495
278.99159663837924,4799.817060468971,-0.5,34.28583370977067
278.99159663837924,4799.817060468971,-1.5,34.84437996022641
278.99159663837924,4799.817060468971,-2.5,35.08519988627224
278.99159663837924,4799.817060468971,-3.5,35.16344165180138
278.99159663837924,4799.817060468971,-4.5,35.2010524373844
348.73949579856725,4799.77132415124,-0.5,34.27634818473319
348.73949579856725,4799.77132415124,-1.5,34.8408287044999
348.73949579856725,4799.77132415124,-2.5,35.08420526914196
348.73949579856725,4799.77132415124,-3.5,35.16317820729388
348.73949579856725,4799.77132415124,-4.5,35.20095517355931
418.48739495796434,4799.725587259532,-0.5,34.25782782212735
418.48739495796434,4799.725587259532,-1.5,34.833668709437234
418.48739495796434,4799.725587259532,-2.5,35.0820177966259
418.48739495796434,4799.725587259532,-3.5,35.16227125878084
418.48739495796434,4799.725587259532,-4.5,35.20049907466525
488.2352941173614,4799.679849793852,-0.5,34.224840689248495
488.2352941173614,4799.679849793852,-1.5,34.82158074847682
488.2352941173614,4799.679849793852,-2.5,35.07822025152241
488.2352941173614,4799.679849793852,-3.5,35.16068433505195
488.2352941173614,4799.679849793852,-4.5,35.1997244836703
557.9831932775495,4799.6341117542015,-0.5,34.18836678456688
557.9831932775495,4799.6341117542015,-1.5,34.808953908320476
557.9831932775495,4799.6341117542015,-2.5,35.07423748105579
557.9831932775495,4799.6341117542015,-3.5,35.158965593817996
557.9831932775495,4799.6341117542015,-4.5,35.198893921954294
627.7310924369465,4799.588373140593,-0.5,34.15267161243119
627.7310924369465,4799.588373140593,-1.5,34.79605491698903
627.7310924369465,4799.588373140593,-2.5,35.069985843092354
627.7310924369465,4799.588373140593,-3.5,35.15718942287452
627.7310924369465,4799.588373140593,-4.5,35.19798950406458
697.4789915963436,4799.542633953025,-0.5,34.11963901731757
697.4789915963436,4799.542633953025,-1.5,34.78388962515916
697.4789915963436,4799.542633953025,-2.5,35.06623288503741
697.4789915963436,4799.542633953025,-3.5,35.155485104201205
697.4789915963436,4799.542633953025,-4.5,35.19712173254275
767.2268907565316,4799.496894191508,-0.5,34.0862183086639
767.2268907565316,4799.496894191508,-1.5,34.77188028415873
767.2268907565316,4799.496894191508,-2.5,35.06211302574637
767.2268907565316,4799.496894191508,-3.5,35.15347491592982
767.2268907565316,4799.496894191508,-4.5,35.196040203302694
836.9747899159287,4799.451153856045,-0.5,34.06422435998892
836.9747899159287,4799.451153856045,-1.5,34.76501326791731
836.9747899159287,4799.451153856045,-2.5,35.05944526570695
836.9747899159287,4799.451153856045,-3.5,35.152122475957704
836.9747899159287,4799.451153856045,-4.5,35.19531612762318
906.7226890753258,4799.405412946641,-0.5,34.053789441400546
906.7226890753258,4799.405412946641,-1.5,34.76002838969669
906.7226890753258,4799.405412946641,-2.5,35.05787670710409
906.7226890753258,4799.405412946641,-3.5,35.15161246347245
906.7226890753258,4799.405412946641,-4.5,35.195008384010116
976.4705882355139,4799.359671463302,-0.5,34.037533265625264
976.4705882355139,4799.359671463302,-1.5,34.75392213216128
976.4705882355139,4799.359671463302,-2.5,35.05608154371796
976.4705882355139,4799.359671463302,-3.5,35.15098392149733
976.4705882355139,4799.359671463302,-4.5,35.194725232450715
1046.2184873949109,4799.313929406036,-0.5,34.00962979885042
1046.2184873949109,4799.313929406036,-1.5,34.74387370889256
1046.2184873949109,4799.313929406036,-2.5,35.05276774353381
1046.2184873949109,4799.313929406036,-3.5,35.14983630268855
1046.2184873949109,4799.313929406036,-4.5,35.194164021711615
1115.9663865543077,4799.268186774846,-0.5,33.971900283688285
1115.9663865543077,4799.268186774846,-1.5,34.72935407541188
1115.9663865543077,4799.268186774846,-2.5,35.048241527482006
1115.9663865543077,4799.268186774846,-3.5,35.147916536140386
1115.9663865543077,4799.268186774846,-4.5,35.19311979055466
1185.7142857144959,4799.222443569736,-0.5,33.92340065583058
1185.7142857144959,4799.222443569736,-1.5,34.71167329589906
1185.7142857144959,4799.222443569736,-2.5,35.04261032478009
1185.7142857144959,4799.222443569736,-3.5,35.14495405220696
1185.7142857144959,4799.222443569736,-4.5,35.1915424610351
1255.462184873893,4799.176699790715,-0.5,33.879420469428396
1255.462184873893,4799.176699790715,-1.5,34.69837022785857
1255.462184873893,4799.176699790715,-2.5,35.03743775486898
1255.462184873893,4799.176699790715,-3.5,35.142366323162804
1255.462184873893,4799.176699790715,-4.5,35.19016652341678
