timestamp,wind_direction,wind_level,tide
1571904000.0000033,South,Moderate,Flood
1571905799.9999967,South,Moderate,Flood
1571907600.0,South,Moderate,Flood
1571909400.0000033,South,Moderate,Flood
1571911199.9999967,South,Moderate,Ebb
1571913000.0,South,Moderate,Ebb
1571914800.0000033,South,Moderate,Ebb
1571916599.9999967,South,Moderate,Ebb
1571918400.0,South,Moderate,Ebb
1571920200.0000033,South,Moderate,Ebb
1571921999.9999967,South,Moderate,Ebb
1571923800.0,South,Moderate,Ebb
1571925600.0000033,South,Moderate,Ebb
1571927399.9999967,South,Moderate,Ebb
1571929200.0,South,Moderate,Ebb
1571931000.0000033,South,Moderate,Ebb
1571932799.9999967,South,Moderate,Flood
1571934600.0,South,Moderate,Flood
1571936400.0000033,South,Moderate,Flood
1571938199.9999967,South,Moderate,Flood
1571940000.0,South,Moderate,Flood
1571941800.0000033,South,Moderate,Flood
1571943599.9999967,South,Moderate,Flood
1571945400.0,South,Moderate,Flood
1571947200.0000033,South,Moderate,Flood
1571948999.9999967,South,Moderate,Flood
1571950800.0,South,Moderate,Flood
1571952600.0000033,South,Heavy,Flood
1571954399.9999967,South,Heavy,Flood
1571956200.0,South,Heavy,Ebb
1571958000.0000033,South,Heavy,Ebb
1571959799.9999967,South,Heavy,Ebb
1571961600.0,South,Heavy,Ebb
1571963400.0000033,South,Heavy,Ebb
1571965199.9999967,South,Heavy,Ebb
1571967000.0,South,Heavy,Ebb
1571968800.0000033,South,Heavy,Ebb
1571970599.9999967,South,Heavy,Ebb
1571972400.0,South,Heavy,Ebb
1571974200.0000033,South,Heavy,Ebb
1571975999.9999967,South,Heavy,Ebb
1571977800.0,South,Heavy,Flood
1571979600.0000033,South,Heavy,Flood
1571981399.9999967,South,Heavy,Flood
1571983200.0,South,Heavy,Flood
1571985000.0000033,South,Heavy,Flood
1571986799.9999967,South,Heavy,Flood
1571988600.0,South,Heavy,Flood
1571990400.0000033,South,Heavy,Flood
1571992199.9999967,South,Heavy,Flood
1571994000.0,South,Heavy,Flood
1571995800.0000033,South,Moderate,Flood
1571997599.9999967,South,Moderate,Flood
1571999400.0,South,Moderate,Flood
1572001200.0000033,South,Moderate,Ebb
1572002999.9999967,South,Moderate,Ebb
1572004800.0,South,Moderate,Ebb
1572006600.0000033,South,Moderate,Ebb
1572008399.9999967,South,Moderate,Ebb
1572010200.0,South,Moderate,Ebb
