x,y,z,salinity
10012.867835775962,8717.405101286244,0.0,21.536719420201898
10012.974699894148,8716.66037836215,0.0,21.536719420201898
10013.081564012336,8715.915655438057,0.0,21.536719420201898
10013.188428130523,8715.170932513964,0.0,21.536719420201898
10013.295292248711,8714.42620958987,0.0,21.536719420201898
10013.402156366898,8713.681486665777,0.0,21.536719420201898
10013.509020485084,8712.936763741684,0.0,21.536719420201898
10013.615884603272,8712.19204081759,0.0,21.536719420201898
10013.722748721459,8711.447317893497,0.0,21.536719420201898
10013.829612839645,8710.702594969403,0.0,21.536719420201898
10013.936476957833,8709.95787204531,0.0,21.536719420201898
10014.04334107602,8709.213149121217,0.0,21.536719420201898
10014.150205194208,8708.468426197125,0.0,21.536719420201898
10014.257069312394,8707.723703273032,0.0,21.536719420201898
10014.36393343058,8706.978980348938,0.0,21.536719420201898
10014.470797548769,8706.234257424845,0.0,21.536719420201898
10014.577661666955,8705.489534500752,0.0,21.536719420201898
10014.684525785144,8704.744811576658,0.0,21.536719420201898
10014.79138990333,8704.000088652565,0.0,21.536719420201898
10014.898254021517,8703.255365728472,0.0,21.536719420201898
10015.005118139705,8702.510642804378,0.0,21.536719420201898
10015.111982257891,8701.765919880285,0.0,21.536719420201898
10015.21884637608,8701.021196956191,0.0,21.536719420201898
10015.325710494266,8700.276474032098,0.0,21.536719420201898
10015.432574612452,8699.531751108005,0.0,21.536719420201898
10015.53943873064,8698.787028183911,0.0,21.536719420201898
10015.646302848827,8698.042305259818,0.0,21.536719420201898
10015.753166967013,8697.297582335725,0.0,21.536719420201898
10015.860031085202,8696.552859411631,0.0,21.536719420201898
10015.966895203388,8695.808136487538,0.0,21.536719420201898
10016.073759321576,8695.063413563445,0.0,21.536719420201898
10016.180623439763,8694.318690639351,0.0,21.536719420201898
10016.28748755795,8693.573967715258,0.0,21.536719420201898
10016.394351676137,8692.829244791164,0.0,21.536719420201898
10016.501215794324,8692.084521867071,0.0,21.536719420201898
10016.608079912512,8691.33979894298,0.0,21.536719420201898
10016.714944030698,8690.595076018886,0.0,21.536719420201898
10016.821808148885,8689.850353094793,0.0,21.536719420201898
10016.928672267073,8689.1056301707,0.0,21.536719420201898
10017.03553638526,8688.360907246606,0.0,21.536719420201898
10017.142400503448,8687.616184322513,0.0,21.536719420201898
10017.249264621634,8686.87146139842,0.0,21.536719420201898
10017.35612873982,8686.126738474326,0.0,21.536719420201898
10017.462992858009,8685.382015550233,0.0,21.536719420201898
10017.569856976195,8684.63729262614,0.0,21.536719420201898
10017.676721094382,8683.892569702046,0.0,21.536719420201898
10017.78358521257,8683.147846777953,0.0,21.536719420201898
10017.890449330756,8682.40312385386,0.0,21.536719420201898
10017.997313448945,8681.658400929766,0.0,21.536719420201898
10018.104177567131,8680.913678005672,0.0,21.536719420201898
10018.211041685317,8680.168955081579,0.0,21.536719420201898
10018.317905803506,8679.424232157486,0.0,21.536719420201898
10018.424769921692,8678.679509233392,0.0,21.536719420201898
10018.53163403988,8677.934786309299,0.0,21.536719420201898
10018.638498158067,8677.190063385206,0.0,21.536719420201898
10018.745362276253,8676.445340461112,0.0,21.536719420201898
10018.852226394441,8675.700617537019,0.0,21.536719420201898
10018.959090512628,8674.955894612925,0.0,21.536719420201898
10019.065954630816,8674.211171688834,0.0,21.536719420201898
10019.172818749003,8673.46644876474,0.0,21.536719420201898
10019.279682867189,8672.721725840647,0.0,21.536719420201898
10019.386546985377,8671.977002916554,0.0,21.536719420201898
10019.493411103564,8671.23227999246,0.0,21.536719420201898
10019.60027522175,8670.487557068367,0.0,21.536719420201898
10019.707139339938,8669.742834144274,0.0,21.536719420201898
10019.814003458125,8668.99811122018,0.0,21.536719420201898
10019.920867576313,8668.253388296087,0.0,21.536719420201898
10020.0277316945,8667.508665371994,0.0,21.536719420201898
10020.134595812686,8666.7639424479,0.0,21.536719420201898
10020.241459930874,8666.019219523807,0.0,21.536719420201898
10020.34832404906,8665.274496599714,0.0,21.536719420201898
10020.455188167249,8664.52977367562,0.0,21.536719420201898
10020.562052285435,8663.785050751527,0.0,21.536719420201898
10020.668916403622,8663.040327827433,0.0,21.536719420201898
10020.77578052181,8662.29560490334,0.0,21.536719420201898
10020.882644639996,8661.550881979247,0.0,21.536719420201898
10020.989508758184,8660.806159055153,0.0,21.536719420201898
10021.09637287637,8660.06143613106,0.0,21.536719420201898
10021.203236994557,8659.316713206967,0.0,21.536719420201898
10021.310101112746,8658.571990282873,0.0,21.536719420201898
10021.416965230932,8657.827267358782,0.0,21.536719420201898
10021.523829349118,8657.082544434688,0.0,21.536719420201898
10021.630693467307,8656.337821510595,0.0,21.536719420201898
10021.737557585493,8655.593098586502,0.0,21.536719420201898
10021.844421703681,8654.848375662408,0.0,21.536719420201898
10021.951285821868,8654.103652738315,0.0,21.536719420201898
10022.058149940054,8653.358929814221,0.0,21.536719420201898
10022.165014058242,8652.614206890128,0.0,21.536719420201898
10022.271878176429,8651.869483966035,0.0,21.536719420201898
10022.378742294617,8651.124761041941,0.0,21.536719420201898
10022.485606412803,8650.380038117848,0.0,21.536719420201898
10022.59247053099,8649.635315193755,0.0,21.536719420201898
10022.699334649178,8648.890592269661,0.0,21.536719420201898
10022.806198767365,8648.145869345568,0.0,23.033934098493653
10022.913062885553,8647.401146421475,0.0,23.033934098493653
10023.01992700374,8646.656423497381,0.0,23.033934098493653
10023.126791121926,8645.911700573288,0.0,23.033934098493653
10023.233655240114,8645.166977649194,0.0,23.033934098493653
10023.3405193583,8644.422254725101,0.0,23.033934098493653
