ind,salinity
3485.0,32.029801589345276
3490.0,32.05889373324975
4080.0,31.729708660922405
4085.0,31.764883472054134
4670.0,31.489155984144283
4675.0,31.502180913048623
4680.0,31.52899965564793
5265.0,31.283505545614297
5270.0,31.293053734012368
5855.0,31.067240848907723
5860.0,31.099081695729105
5865.0,31.115104944965044
6450.0,30.938113896685483
6455.0,30.949921122587174
7045.0,30.80948721432181
7050.0,30.829365838739736
7635.0,30.654536200331115
7640.0,30.68357727024523
7645.0,30.712705202555533
8230.0,30.561762734360233
8235.0,30.57481650594224
8820.0,30.473062054079282
8825.0,30.48865964556112
8830.0,30.494307934371143
9415.0,30.407154399255933
9420.0,30.41660013487524
10010.0,30.370085789368833
10015.0,30.364540709886697
10600.0,30.367464165890645
10605.0,30.35377522033053
10610.0,30.342945686032433
11195.0,30.361653430524477
11200.0,30.349642991169244
11785.0,30.35606388233489
11790.0,30.350858134945785
11795.0,30.342677464323245
12380.0,30.343257283606814
12385.0,30.341679548633397
12970.0,30.32841161854968
12975.0,30.330916590029833
12980.0,30.33366801026937
13565.0,30.32530197566561
13570.0,30.325817559336148
14160.0,30.344180674052655
14165.0,30.337918840833815
14750.0,30.36017838266794
14755.0,30.36243040342384
14760.0,30.36008831882261
15345.0,30.366476164979254
15350.0,30.3726925513876
15935.0,30.389357457705078
15940.0,30.389256189117358
15945.0,30.389035681749817
16530.0,30.427039476007582
16535.0,30.429208045481733
17125.0,30.467673578984055
17130.0,30.466321932947718
17715.0,30.50534199166473
17720.0,30.50395615115384
17725.0,30.49985539449817
18310.0,30.52596767827628
18315.0,30.527838353670653
18900.0,30.536895806303136
18905.0,30.5328003326888
18910.0,30.53146139981884
19495.0,30.52220193857129
19500.0,30.51170009105134
20085.0,30.492013198603637
20090.0,30.487233928348065
20095.0,30.478572649094005
20680.0,30.495787954883042
20685.0,30.483837496520138
21275.0,30.555243614117323
21280.0,30.540536068480613
21865.0,30.619170889773155
21870.0,30.6201660074102
21875.0,30.61783751821423
22460.0,30.69519839510195
22465.0,30.696507360206393
23050.0,30.770255219734143
23055.0,30.77605049004418
23060.0,30.77902966800039
23645.0,30.843238127193004
23650.0,30.850587647523593
