lat,lon,depth
41.065,-8.74,0.0
41.065,-8.74,-0.5
41.065,-8.74,-1.5
41.065,-8.74,-2.5
41.065,-8.74,-3.5
41.065,-8.74,-4.5
41.065,-8.73922716389048,0.0
41.065,-8.73922716389048,-0.5
41.065,-8.73922716389048,-1.5
41.065,-8.73922716389048,-2.5
41.065,-8.73922716389048,-3.5
41.065,-8.73922716389048,-4.5
41.065,-8.738454327780959,0.0
41.065,-8.738454327780959,-0.5
41.065,-8.738454327780959,-1.5
41.065,-8.738454327780959,-2.5
41.065,-8.738454327780959,-3.5
41.065,-8.738454327780959,-4.5
41.065,-8.737681491671438,0.0
41.065,-8.737681491671438,-0.5
41.065,-8.737681491671438,-1.5
41.065,-8.737681491671438,-2.5
41.065,-8.737681491671438,-3.5
41.065,-8.737681491671438,-4.5
41.065,-8.736908655561917,0.0
41.065,-8.736908655561917,-0.5
41.065,-8.736908655561917,-1.5
41.065,-8.736908655561917,-2.5
41.065,-8.736908655561917,-3.5
41.065,-8.736908655561917,-4.5
41.065,-8.736135819452397,0.0
41.065,-8.736135819452397,-0.5
41.065,-8.736135819452397,-1.5
41.065,-8.736135819452397,-2.5
41.065,-8.736135819452397,-3.5
41.065,-8.736135819452397,-4.5
41.065,-8.735362983342876,0.0
41.065,-8.735362983342876,-0.5
41.065,-8.735362983342876,-1.5
41.065,-8.735362983342876,-2.5
41.065,-8.735362983342876,-3.5
41.065,-8.735362983342876,-4.5
41.065,-8.734590147233355,0.0
41.065,-8.734590147233355,-0.5
41.065,-8.734590147233355,-1.5
41.065,-8.734590147233355,-2.5
41.065,-8.734590147233355,-3.5
41.065,-8.734590147233355,-4.5
41.065,-8.733817311123834,0.0
41.065,-8.733817311123834,-0.5
41.065,-8.733817311123834,-1.5
41.065,-8.733817311123834,-2.5
41.065,-8.733817311123834,-3.5
41.065,-8.733817311123834,-4.5
41.065,-8.733044475014314,0.0
41.065,-8.733044475014314,-0.5
41.065,-8.733044475014314,-1.5
41.065,-8.733044475014314,-2.5
41.065,-8.733044475014314,-3.5
41.065,-8.733044475014314,-4.5
41.065,-8.732271638904791,0.0
41.065,-8.732271638904791,-0.5
41.065,-8.732271638904791,-1.5
41.065,-8.732271638904791,-2.5
41.065,-8.732271638904791,-3.5
41.065,-8.732271638904791,-4.5
41.065,-8.73149880279527,0.0
41.065,-8.73149880279527,-0.5
