,x,y,z,salinity
0,-10813.8935546875,-9907.7373046875,0.0,33.653560638427734
1,-10813.8935546875,-9907.7373046875,-0.5,33.988887786865234
2,-10813.8935546875,-9907.7373046875,-1.5,34.63959884643555
3,-10813.8935546875,-9907.7373046875,-2.5,34.890506744384766
4,-10813.8935546875,-9907.7373046875,-3.5,35.08018493652344
5,-10813.8935546875,-9907.7373046875,-4.5,35.20437240600586
6,-10813.8935546875,-9842.873046875,0.0,33.653560638427734
7,-10813.8935546875,-9842.873046875,-0.5,33.988887786865234
8,-10813.8935546875,-9842.873046875,-1.5,34.63959884643555
9,-10813.8935546875,-9842.873046875,-2.5,34.890506744384766
10,-10813.8935546875,-9842.873046875,-3.5,35.08018493652344
11,-10813.8935546875,-9842.873046875,-4.5,35.20437240600586
12,-10813.8935546875,-9778.0078125,0.0,33.626888275146484
13,-10813.8935546875,-9778.0078125,-0.5,33.972381591796875
14,-10813.8935546875,-9778.0078125,-1.5,34.630531311035156
15,-10813.8935546875,-9778.0078125,-2.5,34.885135650634766
16,-10813.8935546875,-9778.0078125,-3.5,35.07771301269531
17,-10813.8935546875,-9778.0078125,-4.5,35.20197677612305
18,-10813.8935546875,-9713.142578125,0.0,33.598365783691406
19,-10813.8935546875,-9713.142578125,-0.5,33.953880310058594
20,-10813.8935546875,-9713.142578125,-1.5,34.618831634521484
21,-10813.8935546875,-9713.142578125,-2.5,34.87929916381836
22,-10813.8935546875,-9713.142578125,-3.5,35.075504302978516
23,-10813.8935546875,-9713.142578125,-4.5,35.19908905029297
24,-10813.8935546875,-9648.2783203125,0.0,33.598365783691406
25,-10813.8935546875,-9648.2783203125,-0.5,33.953880310058594
26,-10813.8935546875,-9648.2783203125,-1.5,34.618831634521484
27,-10813.8935546875,-9648.2783203125,-2.5,34.87929916381836
28,-10813.8935546875,-9648.2783203125,-3.5,35.075504302978516
29,-10813.8935546875,-9648.2783203125,-4.5,35.19908905029297
30,-10813.8935546875,-9583.4130859375,0.0,33.57632064819336
31,-10813.8935546875,-9583.4130859375,-0.5,33.93513488769531
32,-10813.8935546875,-9583.4130859375,-1.5,34.60530090332031
33,-10813.8935546875,-9583.4130859375,-2.5,34.87158203125
34,-10813.8935546875,-9583.4130859375,-3.5,35.07123947143555
35,-10813.8935546875,-9583.4130859375,-4.5,35.19526290893555
36,-10813.8935546875,-9518.5478515625,0.0,33.57632064819336
37,-10813.8935546875,-9518.5478515625,-0.5,33.93513488769531
38,-10813.8935546875,-9518.5478515625,-1.5,34.60530090332031
39,-10813.8935546875,-9518.5478515625,-2.5,34.87158203125
40,-10813.8935546875,-9518.5478515625,-3.5,35.07123947143555
41,-10813.8935546875,-9518.5478515625,-4.5,35.19526290893555
42,-10813.8935546875,-9453.68359375,0.0,33.55332565307617
43,-10813.8935546875,-9453.68359375,-0.5,33.90758514404297
44,-10813.8935546875,-9453.68359375,-1.5,34.58435821533203
45,-10813.8935546875,-9453.68359375,-2.5,34.86100387573242
46,-10813.8935546875,-9453.68359375,-3.5,35.065616607666016
47,-10813.8935546875,-9453.68359375,-4.5,35.19071578979492
48,-10813.8935546875,-9388.818359375,0.0,33.549964904785156
49,-10813.8935546875,-9388.818359375,-0.5,33.90656280517578
50,-10813.8935546875,-9388.818359375,-1.5,34.583580017089844
51,-10813.8935546875,-9388.818359375,-2.5,34.86161422729492
52,-10813.8935546875,-9388.818359375,-3.5,35.0666618347168
53,-10813.8935546875,-9388.818359375,-4.5,35.19054412841797
54,-10813.8935546875,-9323.9541015625,0.0,33.53342056274414
55,-10813.8935546875,-9323.9541015625,-0.5,33.895198822021484
56,-10813.8935546875,-9323.9541015625,-1.5,34.57659149169922
57,-10813.8935546875,-9323.9541015625,-2.5,34.8576774597168
58,-10813.8935546875,-9323.9541015625,-3.5,35.064613342285156
59,-10813.8935546875,-9323.9541015625,-4.5,35.18812942504883
60,-10813.8935546875,-9259.0888671875,0.0,33.53342056274414
61,-10813.8935546875,-9259.0888671875,-0.5,33.895198822021484
62,-10813.8935546875,-9259.0888671875,-1.5,34.57659149169922
63,-10813.8935546875,-9259.0888671875,-2.5,34.8576774597168
64,-10813.8935546875,-9259.0888671875,-3.5,35.064613342285156
65,-10813.8935546875,-9259.0888671875,-4.5,35.18812942504883
66,-10813.8935546875,-9194.2236328125,0.0,33.5141716003418
67,-10813.8935546875,-9194.2236328125,-0.5,33.8671760559082
68,-10813.8935546875,-9194.2236328125,-1.5,34.55325698852539
69,-10813.8935546875,-9194.2236328125,-2.5,34.84554672241211
70,-10813.8935546875,-9194.2236328125,-3.5,35.0576171875
71,-10813.8935546875,-9194.2236328125,-4.5,35.18229293823242
72,-10813.8935546875,-9129.359375,0.0,33.5141716003418
73,-10813.8935546875,-9129.359375,-0.5,33.8671760559082
74,-10813.8935546875,-9129.359375,-1.5,34.55325698852539
75,-10813.8935546875,-9129.359375,-2.5,34.84554672241211
76,-10813.8935546875,-9129.359375,-3.5,35.0576171875
77,-10813.8935546875,-9129.359375,-4.5,35.18229293823242
78,-10813.8935546875,-9064.494140625,0.0,33.49814987182617
79,-10813.8935546875,-9064.494140625,-0.5,33.845401763916016
80,-10813.8935546875,-9064.494140625,-1.5,34.53590393066406
81,-10813.8935546875,-9064.494140625,-2.5,34.83659744262695
82,-10813.8935546875,-9064.494140625,-3.5,35.052452087402344
83,-10813.8935546875,-9064.494140625,-4.5,35.177703857421875
84,-10813.8935546875,-8999.62890625,0.0,33.496089935302734
85,-10813.8935546875,-8999.62890625,-0.5,33.84498596191406
86,-10813.8935546875,-8999.62890625,-1.5,34.5357666015625
87,-10813.8935546875,-8999.62890625,-2.5,34.83798599243164
88,-10813.8935546875,-8999.62890625,-3.5,35.05387878417969
89,-10813.8935546875,-8999.62890625,-4.5,35.17741012573242
90,-10813.8935546875,-8934.7646484375,0.0,33.48243713378906
91,-10813.8935546875,-8934.7646484375,-0.5,33.823150634765625
92,-10813.8935546875,-8934.7646484375,-1.5,34.516544342041016
93,-10813.8935546875,-8934.7646484375,-2.5,34.82737731933594
94,-10813.8935546875,-8934.7646484375,-3.5,35.04723358154297
95,-10813.8935546875,-8934.7646484375,-4.5,35.171566009521484
96,-10813.8935546875,-8869.8994140625,0.0,33.48243713378906
97,-10813.8935546875,-8869.8994140625,-0.5,33.823150634765625
98,-10813.8935546875,-8869.8994140625,-1.5,34.516544342041016
99,-10813.8935546875,-8869.8994140625,-2.5,34.82737731933594
100,-10813.8935546875,-8869.8994140625,-3.5,35.04723358154297
101,-10813.8935546875,-8869.8994140625,-4.5,35.171566009521484
102,-10813.8935546875,-8805.03515625,0.0,33.467041015625
103,-10813.8935546875,-8805.03515625,-0.5,33.788841247558594
104,-10813.8935546875,-8805.03515625,-1.5,34.484832763671875
105,-10813.8935546875,-8805.03515625,-2.5,34.81047058105469
106,-10813.8935546875,-8805.03515625,-3.5,35.0372428894043
107,-10813.8935546875,-8805.03515625,-4.5,35.1637077331543
108,-10813.8935546875,-8740.169921875,0.0,33.456233978271484
109,-10813.8935546875,-8740.169921875,-0.5,33.764957427978516
110,-10813.8935546875,-8740.169921875,-1.5,34.46342468261719
111,-10813.8935546875,-8740.169921875,-2.5,34.79878234863281
112,-10813.8935546875,-8740.169921875,-3.5,35.02993392944336
113,-10813.8935546875,-8740.169921875,-4.5,35.15748977661133
114,-10813.8935546875,-8675.3046875,0.0,33.456233978271484
115,-10813.8935546875,-8675.3046875,-0.5,33.764957427978516
116,-10813.8935546875,-8675.3046875,-1.5,34.46342468261719
117,-10813.8935546875,-8675.3046875,-2.5,34.79878234863281
118,-10813.8935546875,-8675.3046875,-3.5,35.02993392944336
119,-10813.8935546875,-8675.3046875,-4.5,35.15748977661133
120,-10813.8935546875,-8610.4404296875,0.0,33.44647216796875
121,-10813.8935546875,-8610.4404296875,-0.5,33.72743225097656
122,-10813.8935546875,-8610.4404296875,-1.5,34.42915725708008
123,-10813.8935546875,-8610.4404296875,-2.5,34.782066345214844
124,-10813.8935546875,-8610.4404296875,-3.5,35.02006912231445
125,-10813.8935546875,-8610.4404296875,-4.5,35.1482048034668
126,-10813.8935546875,-8545.5751953125,0.0,33.44647216796875
127,-10813.8935546875,-8545.5751953125,-0.5,33.72743225097656
128,-10813.8935546875,-8545.5751953125,-1.5,34.42915725708008
129,-10813.8935546875,-8545.5751953125,-2.5,34.782066345214844
