,x,y,z,salinity
0,-10813.8935546875,-9907.7373046875,0.0,31.70697593688965
1,-10813.8935546875,-9907.7373046875,-0.5,31.70697593688965
2,-10813.8935546875,-9907.7373046875,-1.5,33.899112701416016
3,-10813.8935546875,-9907.7373046875,-2.5,34.83694076538086
4,-10813.8935546875,-9907.7373046875,-3.5,35.00535583496094
5,-10813.8935546875,-9907.7373046875,-4.5,35.16496658325195
6,-10813.8935546875,-9842.873046875,0.0,31.70697593688965
7,-10813.8935546875,-9842.873046875,-0.5,31.70697593688965
8,-10813.8935546875,-9842.873046875,-1.5,33.899112701416016
9,-10813.8935546875,-9842.873046875,-2.5,34.83694076538086
10,-10813.8935546875,-9842.873046875,-3.5,35.00535583496094
11,-10813.8935546875,-9842.873046875,-4.5,35.16496658325195
12,-10813.8935546875,-9778.0078125,0.0,31.46508026123047
13,-10813.8935546875,-9778.0078125,-0.5,31.46508026123047
14,-10813.8935546875,-9778.0078125,-1.5,33.869354248046875
15,-10813.8935546875,-9778.0078125,-2.5,34.83228302001953
16,-10813.8935546875,-9778.0078125,-3.5,35.0036735534668
17,-10813.8935546875,-9778.0078125,-4.5,35.16394805908203
18,-10813.8935546875,-9713.142578125,0.0,31.190763473510742
19,-10813.8935546875,-9713.142578125,-0.5,31.190763473510742
20,-10813.8935546875,-9713.142578125,-1.5,33.832557678222656
21,-10813.8935546875,-9713.142578125,-2.5,34.82999038696289
22,-10813.8935546875,-9713.142578125,-3.5,35.00279235839844
23,-10813.8935546875,-9713.142578125,-4.5,35.162479400634766
24,-10813.8935546875,-9648.2783203125,0.0,31.190763473510742
25,-10813.8935546875,-9648.2783203125,-0.5,31.190763473510742
26,-10813.8935546875,-9648.2783203125,-1.5,33.832557678222656
27,-10813.8935546875,-9648.2783203125,-2.5,34.82999038696289
28,-10813.8935546875,-9648.2783203125,-3.5,35.00279235839844
29,-10813.8935546875,-9648.2783203125,-4.5,35.162479400634766
30,-10813.8935546875,-9583.4130859375,0.0,30.962207794189453
31,-10813.8935546875,-9583.4130859375,-0.5,30.962207794189453
32,-10813.8935546875,-9583.4130859375,-1.5,33.79611587524414
33,-10813.8935546875,-9583.4130859375,-2.5,34.82601547241211
34,-10813.8935546875,-9583.4130859375,-3.5,35.00037384033203
35,-10813.8935546875,-9583.4130859375,-4.5,35.16022491455078
36,-10813.8935546875,-9518.5478515625,0.0,30.962207794189453
37,-10813.8935546875,-9518.5478515625,-0.5,30.962207794189453
